,Topic 1,Topic 2,Topic 3,Topic 4
AL158147.2,2.434077443866738e-05,0.0,0.0,0.0
AL163636.6,0.0005843070338865325,0.0,0.0,0.0
AL353354.2,0.00028759363571596977,0.0,0.0,0.0
AL359693.1,0.0,0.0,0.0,5.4310846593377765e-05
AL590235.1,0.0,0.0,8.448365792199587e-05,0.0
AL590714.1,0.0,0.0,0.0,0.0005021191477500963
AL603965.1,0.0,0.0,0.0031759427274263338,0.0
ALB,0.000292217740622524,0.0,0.0,0.0
ALDH1A1,0.0009343260858409844,0.0,0.0,0.0
ALDH1A2,0.000510321355381665,0.0,0.0,0.0
ALDH1A3,0.0,0.002576797164679569,0.0,0.0
ALDH3A1,0.0,0.0,0.00493586588402965,0.0
ALDH3B1,0.0007746660192063481,0.0,0.0,0.0
ALDH3B2,0.0005340198930277553,0.0,0.0,0.0
ALDH8A1,0.00026710628203276425,0.0,0.0,0.0
ALDOB,0.0,0.0,0.0012337368958500157,0.0
ALG1L,0.0005891238098308599,0.0,0.0,0.0
ALOX15,0.0,0.0,0.0,0.006584933966208406
ALOX15B,0.000667027132770447,0.0,0.0,0.0
ALOX5,0.0008343940409160069,0.0,0.0,0.0
ALOX5AP,0.0009132607190444595,0.0,0.0,0.0
ALPL,0.0008230264496873944,0.0,0.0,0.0
ALPP,0.000300502595246767,0.0,0.0,0.0
ALPPL2,0.0,0.0,0.0,0.002778051039899002
ALS2CL,0.0007200758918373052,0.0,0.0,0.0
ALX3,0.0,0.0,0.0007879019401855702,0.0
ALX4,0.0,0.0,0.0,0.0006722248182123739
AMACR,0.0006943221964549685,0.0,0.0,0.0
AMBP,0.0,0.0,0.0,0.004502676602477394
AMICA1,0.000738379640425749,0.0,0.0,0.0
AMIGO2,0.000738186969387976,0.0,0.0,0.0
AMTN,0.0002331319557054422,0.0,0.0,0.0
AMY1A,0.00019003786692352713,0.0,0.0,0.0
AMY1B,0.0003808464179981466,0.0,0.0,0.0
AMY1C,0.0005949039409640527,0.0,0.0,0.0
AMY2A,7.790332293958716e-05,0.0,0.0,0.0
ANG,0.0007162866947611011,0.0,0.0,0.0
ANGPT1,0.0005523236416161992,0.0,0.0,0.0
ANGPTL1,0.00042824349329032745,0.0,0.0,0.0
ANGPTL3,0.0,0.0,0.0,0.0009980898977726405
ANGPTL4,0.0007476278502388575,0.0,0.0,0.0
ANKH,0.0,0.003165545448117333,0.0,0.0
ANKRD1,0.0004502722152757177,0.0,0.0,0.0
ANKRD29,0.0006870649206988487,0.0,0.0,0.0
ANKRD33,0.0,0.0,0.0005027695946988341,0.0
ANKRD36C,0.0,0.0015791752313870071,0.0,0.0
ANKRD37,0.0007117268135338045,0.0,0.0,0.0
ANLN,0.0,0.002468376178644043,0.0,0.0
ANO1,0.0,0.002573819929365092,0.0,0.0
ANPEP,0.0007254706808949518,0.0,0.0,0.0
ANXA10,0.00020821316815345555,0.0,0.0,0.0
ANXA13,0.0,0.0,0.0,0.0022872039546494183
ANXA3,0.0008719006696025023,0.0,0.0,0.0
ANXA8,0.0,0.0,0.00409883486016118,0.0
ANXA8L1,0.0005159088154770847,0.0,0.0,0.0
ANXA8L2,0.0,0.0,0.004574055435972407,0.0
AOAH,0.000648145371068684,0.0,0.0,0.0
AOC1,0.00039638854837850944,0.0,0.0,0.0
AOC3,0.0,0.003127585697857755,0.0,0.0
AOX1,0.0005157161444393116,0.0,0.0,0.0
AP000349.1,0.00012446549040141791,0.0,0.0,0.0
AP001350.1,2.202872198539027e-05,0.0,0.0,0.0
AP001579.1,4.6562167461830744e-05,0.0,0.0,0.0
AP3M2,0.0006970195909837919,0.0,0.0,0.0
APBB1,0.0007157086816477819,0.0,0.0,0.0
APCDD1,0.0007063962481554157,0.0,0.0,0.0
APCS,0.0,0.0,0.0,0.00041091791479140534
APLN,0.0005699209297328083,0.0,0.0,0.0
APLP1,0.0005850777180376249,0.0,0.0,0.0
APOA1,0.0002649869006172602,0.0,0.0,0.0
APOA2,0.0,0.0,0.0,0.0022082995171458317
APOA4,0.0,0.0,0.0,0.0003227908806964905
APOA5,0.0,0.0,0.0,0.0009571005795889591
APOB,0.0,0.0,0.00035813724553889555,0.0
APOBEC3A,0.0,0.0,0.00396200806635273,0.0
APOBEC3B,0.0,0.0024182593841836856,0.0,0.0
