i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4
122,ecefab08-36f5-4a49-9e4d-9e6def0d747e.FPKM.txt.gz,0.2918549997038258,0.4676984305421055,0.23836683822078897,0.0020797315332798773
123,754aad86-ccb1-4716-84fc-abe77e4b3e2d.FPKM.txt.gz,0.31021559013043515,0.21733281749136266,0.4688206249136327,0.0036309674645694243
124,6b59b355-7581-426d-98c1-36e132a77c4e.FPKM.txt.gz,0.02793923240561083,0.02009994309927054,0.9516915900819832,0.00026923441313529966
125,abd58426-924c-47c2-99f3-102e93a3d341.FPKM.txt.gz,0.3145066409046765,0.3381741078726208,0.342727273429938,0.0045919777927648005
126,b033c85a-2395-4ced-a84d-ac1fbce674bf.FPKM.txt.gz,0.4202713686748062,0.33993968455199086,0.2375395706673715,0.0022493761058313844
127,4d8ca8d3-eec4-4dee-9805-4a84fa1f1716.FPKM.txt.gz,0.38103458999780865,0.26169199282181976,0.3556036808226528,0.0016697363577188261
128,4ce949d4-55e1-4e4b-a6d3-d2910ae3b448.FPKM.txt.gz,0.2944337076118332,0.5688400016028535,0.13622697302355802,0.0004993177617551246
129,64262505-9f17-4989-94c9-fc6db56ca676.FPKM.txt.gz,0.3156735626094916,0.2745745502356315,0.40541536080933793,0.004336526345538804
130,c0838214-75ee-4668-85fe-4247b8e5ea1c.FPKM.txt.gz,0.33642541242565804,0.5268275666539343,0.13598933537599486,0.0007576855444128557
131,7403bf3f-1678-4b86-b094-c87c993e583f.FPKM.txt.gz,0.2956725968756055,0.11643773977231218,0.5851737267507418,0.002715936601340654
132,a32c6a56-997e-46b6-8da9-fcfe24aafc08.FPKM.txt.gz,0.27723409691391376,0.44947223215776794,0.2708430865341624,0.0024505843941558356
133,e023c283-afcf-4334-b741-3dce8e98b0f6.FPKM.txt.gz,0.196609145653274,0.6620874644620072,0.13938348117945015,0.0019199087052686327
134,8cc12fdc-c850-42a3-9aac-eae3ac9b21a0.FPKM.txt.gz,0.2596899452956938,0.43111429332806983,0.3075880023784483,0.0016077589977881168
135,4bf2bea7-00ef-485c-b9e5-035f0ea62b1d.FPKM.txt.gz,0.32891819044629605,0.3582689806777827,0.3111356579357845,0.001677170940136623
136,757b49f6-849d-45d9-a182-4caa6c527fc2.FPKM.txt.gz,0.26062762180331056,0.40800509366907284,0.32753846353572713,0.003828820991889578
137,d2ba49d2-5207-495c-97b3-d70ebef30c7d.FPKM.txt.gz,0.24244077360499763,0.27822076744197105,0.4742281021551715,0.005110356797859778
138,e4e0ed55-a9f4-4978-9aa5-7a6f892ebb53.FPKM.txt.gz,0.34789016008556933,0.32002178704980366,0.2712865566834092,0.06080149618121775
139,ce137517-0320-46dd-b4e0-82c02773ba97.FPKM.txt.gz,0.3152364108082213,0.32909301994931395,0.3541615633808134,0.0015090058616513895
140,fcdaa827-e263-46e0-8a83-206fa5a009ba.FPKM.txt.gz,0.35308544663382324,0.27981466718763753,0.3592039620630571,0.00789592411548211
141,801d0a1e-b2c9-4e05-bd6b-15322b0458c6.FPKM.txt.gz,0.31605552158253447,0.3028402555003405,0.374218972060559,0.006885250856565965
142,fd55692a-cd56-459b-8edb-ba83a735e665.FPKM.txt.gz,0.28738725378242613,0.3232474374407524,0.3878658130561491,0.0014994957206723076
143,baa3cdc1-1ee8-4aab-80f9-dafa35cc5fbf.FPKM.txt.gz,0.4430924836300361,0.4345623247900731,0.121468496322643,0.0008766952572477632
