Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
TCGA-37-4132-01A-01R-1100-07,TCGA-50-5944-01A-11R-1755-07,GTEX-148VI-0226-SM-5RQKA,,TCGA-85-A4QR-01A-11R-A24Z-07
TCGA-85-8287-01A-11R-2296-07,TCGA-50-5051-01A-21R-1858-07,GTEX-WHSB-0326-SM-5FQSD,,TCGA-46-3768-01A-01R-0980-07
TCGA-43-2578-01A-01R-0851-07,TCGA-44-2668-01A-01R-A278-07,GTEX-13111-0426-SM-5DUXR,,TCGA-NK-A7XE-01A-12R-A405-07
TCGA-68-8251-01A-11R-2296-07,TCGA-97-A4M6-01A-11R-A24X-07,GTEX-S32W-0326-SM-2XCBI,,TCGA-L3-A524-01A-11R-A262-07
TCGA-NC-A5HH-01A-11R-A26W-07,TCGA-62-A46Y-01A-11R-A24H-07,GTEX-YF7O-0626-SM-4W21R,,TCGA-56-A62T-01A-11R-A405-07
TCGA-85-8584-01A-11R-2403-07,TCGA-55-8510-01A-11R-2403-07,GTEX-OHPK-0526-SM-2HMJB,,TCGA-58-A46K-01A-11R-A24H-07
TCGA-21-5787-01A-01R-1635-07,TCGA-75-6212-01A-11R-1755-07,GTEX-13NYS-1626-SM-5J2MU,,TCGA-66-2758-01A-02R-0851-07
TCGA-70-6722-01A-11R-1820-07,TCGA-49-4487-01A-21R-1858-07,GTEX-OOBK-0526-SM-2HMJJ,,TCGA-33-4538-01A-01R-1201-07
TCGA-85-7699-01A-11R-2125-07,TCGA-97-7938-01A-11R-2170-07,GTEX-14ABY-1126-SM-5Q5F8,,TCGA-66-2782-01A-01R-0851-07
TCGA-43-7658-01A-11R-2125-07,TCGA-64-1678-01A-01R-0946-07,GTEX-P44H-1126-SM-48TBU,,TCGA-63-A5MT-01A-21R-A26W-07
TCGA-39-5030-01A-01R-1443-07,TCGA-86-A456-01A-11R-A24H-07,GTEX-13U4I-1426-SM-5J2M3,,TCGA-39-5035-01A-01R-1443-07
TCGA-58-8390-01A-11R-2326-07,TCGA-75-7031-01A-11R-1949-07,GTEX-12WSG-0326-SM-5FQU3,,TCGA-63-A5MY-01A-11R-A26W-07
TCGA-85-7950-01A-11R-2187-07,TCGA-55-8203-01A-11R-2241-07,GTEX-12WSI-0826-SM-5EGKD,,TCGA-85-A511-01A-21R-A262-07
TCGA-37-4129-01A-01R-1100-07,TCGA-44-8120-01A-11R-2241-07,GTEX-13D11-0326-SM-5LZXX,,TCGA-NC-A5HD-01A-11R-A26W-07
TCGA-22-5480-01A-01R-1635-07,TCGA-35-3615-01A-01R-0946-07,GTEX-145MH-0626-SM-5NQAK,,TCGA-85-A4JB-01A-51R-A262-07
TCGA-21-1083-01A-01R-0692-07,TCGA-50-5942-01A-21R-1755-07,GTEX-11DXX-0626-SM-5Q5AG,,TCGA-63-A5M9-01A-11R-A26W-07
TCGA-60-2695-01A-01R-0851-07,TCGA-55-6642-01A-11R-1858-07,GTEX-13O3O-0726-SM-5J1N7,,TCGA-56-A5DR-01A-11R-A27Q-07
TCGA-33-6737-01A-11R-1820-07,TCGA-44-6777-01A-11R-1858-07,GTEX-1313W-0926-SM-5EQ56,,TCGA-60-2707-01A-01R-0851-07
TCGA-90-A4ED-01A-31R-A24Z-07,TCGA-55-6971-01A-11R-1949-07,GTEX-O5YT-0526-SM-32PK8,,TCGA-56-8504-01A-11R-2403-07
TCGA-66-2785-01A-01R-0851-07,TCGA-38-7271-01A-11R-2039-07,GTEX-Y5LM-0726-SM-4VBRP,,TCGA-33-4532-01A-01R-1201-07
TCGA-98-8023-01A-11R-2247-07,TCGA-80-5611-01A-01R-1628-07,GTEX-O5YW-0526-SM-2YUMX,,TCGA-18-3412-01A-01R-0980-07
TCGA-85-8352-01A-31R-2326-07,TCGA-73-A9RS-01A-11R-A41B-07,GTEX-13OVJ-0726-SM-5KM1W,,TCGA-60-2703-01A-11R-2045-07
TCGA-85-A50M-01A-21R-A262-07,TCGA-MP-A4SV-01A-11R-A24X-07,GTEX-Y5V5-0826-SM-4VBQD,,TCGA-22-4595-01A-01R-1201-07
TCGA-43-8116-01A-11R-2247-07,TCGA-91-6849-01A-11R-1949-07,GTEX-RU1J-0126-SM-2TF6Y,,TCGA-21-5783-01A-41R-2187-07
TCGA-77-6842-01A-11R-1949-07,TCGA-05-5715-01A-01R-1628-07,GTEX-13NZ9-0926-SM-5KM12,,TCGA-66-2773-01A-01R-1201-07
TCGA-NK-A5CT-01A-31R-A26W-07,TCGA-91-6835-01A-11R-1858-07,GTEX-12WSD-0826-SM-5GCNE,,TCGA-77-A5GA-01A-11R-A27Q-07
TCGA-37-3792-01A-01R-0980-07,TCGA-55-6981-01A-11R-1949-07,GTEX-11DXZ-0726-SM-5N9C4,,TCGA-77-7138-01A-41R-2045-07
TCGA-56-8083-01A-11R-2247-07,TCGA-50-6673-01A-11R-1949-07,GTEX-VUSG-0926-SM-3GIK6,,TCGA-85-8276-01A-11R-2296-07
TCGA-77-A5GH-01A-11R-A27Q-07,TCGA-55-8616-01A-11R-2403-07,GTEX-13CF3-0426-SM-5IJEU,,TCGA-77-A5GF-01A-21R-A27Q-07
TCGA-63-A5MW-01A-11R-A26W-07,TCGA-99-AA5R-01A-11R-A39D-07,GTEX-144GN-0426-SM-5O9AP,,TCGA-60-2696-01A-01R-0851-07
TCGA-37-4141-01A-02R-1100-07,TCGA-50-5933-01A-11R-1755-07,GTEX-ZZPU-0526-SM-5E44U,,TCGA-63-A5MH-01A-12R-A27Q-07
TCGA-22-5481-01A-31R-1949-07,TCGA-69-7760-01A-11R-2170-07,GTEX-QDVN-0726-SM-4B64L,,TCGA-21-1080-01A-01R-0692-07
TCGA-33-4587-01A-11R-2125-07,TCGA-99-8025-01A-11R-2241-07,GTEX-12584-1426-SM-5EGJ9,,TCGA-18-3411-01A-01R-0980-07
TCGA-33-AASB-01A-11R-A405-07,TCGA-97-8547-01A-11R-2403-07,GTEX-11EQ9-0226-SM-5A5JX,,TCGA-21-1070-01A-01R-0692-07
TCGA-21-1078-01A-01R-0692-07,TCGA-91-7771-01A-11R-2170-07,GTEX-13RTJ-1126-SM-5S2UJ,,TCGA-94-A4VJ-01A-11R-A24Z-07
TCGA-56-7223-01A-11R-2045-07,TCGA-55-A490-01A-11R-A466-07,GTEX-13FTZ-0526-SM-5IJCW,,TCGA-85-7710-01A-11R-2125-07
TCGA-85-8288-01A-11R-2296-07,TCGA-44-7662-01A-11R-2066-07,GTEX-U412-0826-SM-3DB9K,,TCGA-77-8139-01A-11R-2247-07
TCGA-37-4130-01A-01R-1100-07,TCGA-55-A493-01A-11R-A24H-07,GTEX-131XF-1026-SM-5BC6A,,TCGA-60-2711-01A-01R-0851-07
TCGA-58-8388-01A-11R-2326-07,TCGA-55-1595-01A-01R-0946-07,GTEX-QXCU-0626-SM-2TC69,,TCGA-66-2792-01A-01R-0980-07
TCGA-NK-A5D1-01A-11R-A26W-07,TCGA-69-7973-01A-11R-2187-07,GTEX-T5JC-0826-SM-32PMC,,TCGA-O2-A52V-01A-31R-A262-07
TCGA-33-AASI-01A-22R-A405-07,TCGA-55-6972-01A-11R-1949-07,GTEX-XV7Q-0426-SM-4BRVN,,TCGA-66-2787-01A-01R-0980-07
TCGA-22-5489-01A-01R-1635-07,TCGA-44-6147-01A-11R-1755-07,GTEX-TMMY-0926-SM-4TT1Z,,TCGA-94-8490-01A-11R-2326-07
TCGA-56-8309-01A-11R-2296-07,TCGA-67-3774-01A-01R-0946-07,GTEX-PVOW-1026-SM-2XCF9,,TCGA-58-A46N-01A-11R-A24H-07
TCGA-O2-A5IB-01A-11R-A27Q-07,TCGA-44-2668-01A-01R-0946-07,GTEX-145LT-0326-SM-5LUAD,,TCGA-77-A5G6-01A-11R-A27Q-07
TCGA-85-6560-01A-11R-1820-07,TCGA-55-6969-01A-11R-1949-07,GTEX-YFCO-0426-SM-4W1Z7,,TCGA-O2-A52N-01A-11R-A26W-07
TCGA-39-5040-01A-21R-2125-07,TCGA-67-6216-01A-11R-1755-07,GTEX-11TUW-0526-SM-5LU9A,,TCGA-39-5021-01A-01R-1443-07
TCGA-63-A5MM-01A-11R-A26W-07,TCGA-MP-A5C7-01A-11R-A262-07,GTEX-13OVH-1026-SM-5J2NP,,TCGA-34-5232-01A-21R-1820-07
TCGA-85-8664-01A-11R-2403-07,TCGA-62-A46V-01A-11R-A24H-07,GTEX-11NSD-0326-SM-5A5LS,,TCGA-37-A5EM-01A-21R-A27Q-07
TCGA-37-4132-01A-01R-1100-07-1,TCGA-62-A46R-01A-11R-A24H-07,GTEX-QV44-0926-SM-2S1RH,,TCGA-18-4721-01A-01R-1443-07
TCGA-NC-A5HK-01A-11R-A26W-07,TCGA-55-A4DG-01A-11R-A24H-07,GTEX-S4Z8-0426-SM-3K2AH,,TCGA-66-2780-01A-01R-0851-07
TCGA-66-2757-01A-01R-0851-07,TCGA-44-7672-01A-11R-2066-07,GTEX-POYW-1226-SM-2XCEP,,TCGA-O2-A52S-01A-11R-A262-07
TCGA-43-7656-01A-11R-2125-07,TCGA-55-7913-01B-11R-2241-07,GTEX-U8T8-2226-SM-3DB95,,TCGA-33-AASD-01A-11R-A405-07
TCGA-56-8307-01A-11R-2296-07,TCGA-91-8496-01A-11R-2403-07,GTEX-ZYFG-0226-SM-5GIDT,,TCGA-85-8072-01A-31R-2247-07
TCGA-22-5483-01A-01R-1820-07,TCGA-44-3917-01A-01R-A278-07,GTEX-XYKS-0526-SM-4BRW2,,TCGA-37-A5EN-01A-21R-A26W-07
,TCGA-78-7156-01A-11R-2039-07,GTEX-YFC4-1126-SM-5RQJN,,TCGA-66-2791-01A-01R-0980-07
,TCGA-55-6968-01A-11R-1949-07,GTEX-X5EB-0426-SM-46MVY,,TCGA-77-8150-01A-11R-2247-07
,TCGA-44-2666-01A-01R-A278-07,GTEX-ZXG5-0826-SM-5GID6,,TCGA-18-5592-01A-01R-1635-07
,TCGA-97-A4M0-01A-11R-A24X-07,GTEX-XBEC-1026-SM-4QASM,,TCGA-85-8070-01A-11R-2247-07
,TCGA-67-6217-01A-11R-1755-07,GTEX-S7SE-0926-SM-2XCD6,,TCGA-22-5474-01A-01R-1635-07
,TCGA-78-7146-01A-11R-2039-07,GTEX-13N11-0326-SM-5LUA3,,TCGA-33-4547-01A-01R-1201-07
,TCGA-55-6978-01A-11R-1949-07,GTEX-YECK-0926-SM-4W214,,TCGA-34-A5IX-01A-12R-A27Q-07
,TCGA-75-5126-01A-01R-1755-07,GTEX-13JUV-0526-SM-5K7XE,,TCGA-21-1081-01A-01R-0692-07
,TCGA-55-6986-01A-11R-1949-07,GTEX-ZYY3-0926-SM-5E454,,TCGA-58-A46L-01A-11R-A24H-07
,TCGA-55-8507-01A-11R-2403-07,GTEX-OOBJ-0526-SM-48TDK,,TCGA-77-8133-01A-12R-2247-07
,TCGA-50-5939-01A-11R-1628-07,GTEX-13OW5-0726-SM-5KLZK,,TCGA-66-2753-01A-01R-0980-07
,TCGA-86-8359-01A-11R-2326-07,GTEX-Y111-1026-SM-4TT22,,TCGA-NC-A5HM-01A-12R-A26W-07
,TCGA-05-4244-01A-01R-1107-07,GTEX-11P7K-0326-SM-59871,,TCGA-56-8625-01A-11R-2403-07
,TCGA-78-7147-01A-11R-2039-07,GTEX-OXRN-0526-SM-2I5EN,,TCGA-98-8020-01A-11R-2247-07
,TCGA-50-7109-01A-11R-2039-07,GTEX-P4QR-1026-SM-2I5GP,,TCGA-58-8393-01A-11R-2326-07
,TCGA-55-8096-01A-11R-2241-07,GTEX-147F4-0926-SM-5Q5EO,,TCGA-77-8008-01A-21R-2187-07
,TCGA-91-6831-01A-11R-1858-07,GTEX-P4QT-0526-SM-2I3EX,,TCGA-66-2765-01A-01R-0851-07
,TCGA-55-6979-01A-11R-1949-07,GTEX-U3ZM-0426-SM-3DB73,,TCGA-22-4591-01A-01R-1201-07
,TCGA-86-8281-01A-11R-2287-07,GTEX-WFG8-0926-SM-3GIKJ,,TCGA-77-8140-01A-11R-2247-07
