0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
ENSG00000091106,14.938701842226337,13.665366379569438,14.91014526606033,19.055656857066488,20.444452856864046,19.407110913992693,15.08064127241388,17.504387178630058,20.747001123802654,16.86916063605141,12.056389583568588,15.434086239900417,20.505887403000855,15.624960418450968,17.68921311407301,18.404594052174055,14.68492088138174,23.405578768613594,19.025508182039587,14.974180836288937,14.927698446895224,18.384492636461882,15.943162855427445,17.296844774842008,15.08199055979245,17.149445728420407
ENSG00000091129,13.907783683071086,23.318077284770947,28.37992467827665,17.84645050687877,21.35917313961356,24.23808344019574,16.03777514061538,19.713551986729748,22.035054854765974,15.343854182270174,25.772497464023083,18.488269107186365,19.951843221614823,13.649305748572134,18.32053637608789,18.97779967115944,19.7558161338006,21.02527916176754,17.79250162052374,18.501087467801444,32.067417780673864,17.93349823872323,25.19980233468364,18.399832807015837,23.524775634792185,17.2905903846736
ENSG00000091409,63.504242645228125,59.21119879999809,69.35324166987613,71.93695729418815,86.53089829509311,55.16982955147196,56.206549919333156,56.18995189884702,66.22023688299979,72.75069166453247,66.84170108559185,62.56956694549402,46.19211374080585,72.0763647535633,68.66180813988768,67.88932890093444,52.70055309830604,62.87979614308437,70.10946497627849,62.331392797330366,92.99837007461197,75.94631467990297,52.89974639826413,81.82821529355623,78.87222999930788,65.61956429717321
ENSG00000091513,10.891013649895127,12.54038055661898,11.556515797406917,15.490256452120699,12.053531582639692,11.695269486554425,15.38884710473193,10.44326868770495,10.179688550606448,13.107125065255065,12.728298947695519,14.079789768999044,10.811590574955366,10.83215827909137,10.652884991487202,10.328312551517962,10.533704519732222,12.519233513902755,14.715347629042249,15.63855290183818,12.59749443791265,10.527872951828327,15.907673420979208,10.409135012076458,12.991015280684413,14.377226973689805
ENSG00000091583,21.426903080350264,17.822170643200717,15.744644413507567,16.924741214141047,21.136184614695704,17.762929788165007,21.699421570263766,14.438756283924565,21.225310339293642,16.874553937879494,20.73771638995973,23.86307032551501,15.786749624022484,17.65980951830765,15.070940861833947,22.13026597448091,20.72981745193708,25.10370770986825,17.375772836623945,18.5630727766609,20.455679361477415,13.451379826016378,31.031989311542787,20.382724777949345,19.728385062157713,16.388810977035938
ENSG00000091844,15.818389820880487,10.701754060227202,10.365008877745304,14.257717457670255,14.803194891054712,10.334241372323884,13.53608544989288,12.272866993417889,12.176767187627696,12.946996502005437,12.396866146194206,14.01222124637696,13.245461729957174,11.663641370080288,14.084304883020174,12.86401394716868,13.4896676868823,15.574631024213232,13.360624145662761,8.588082156587253,9.673408751007003,12.010174062319054,14.683826103231807,11.560039628727154,14.238465812647345,11.203560753800849
ENSG00000091972,28.15500309080381,28.695042062652504,30.13461937189421,22.408705108650103,32.91681863483299,34.28401293305659,46.32826063726824,38.59669696118616,29.491843839381563,31.652896268840514,33.35387472044933,35.757550023316576,34.70400230418266,30.47555630109267,40.85412511734325,34.08781700494821,21.684956960317418,31.62371443801333,27.202742145918673,30.90866335038689,31.714581576066,41.047532168798675,32.70368147930812,36.729066460691705,32.81961574309971,28.966973635903837
ENSG00000091986,51.1411738210771,52.65171375547401,50.579986140558056,40.395396421687124,47.77590593064965,59.908925336945515,44.83761391891959,48.07000681319341,38.1587639751479,63.502965351532595,59.842927854689755,43.80334496828218,49.42833679827365,72.07276728131275,48.941310202333206,60.081792321421915,51.679861846485394,52.38126858369814,59.33178014461093,48.274784265535935,51.133041092353835,51.993207680794654,49.695955897334336,36.78413495629188,46.62266219792007,55.55857869301147
ENSG00000092054,1.4138469222990182,1.4106337922664707,1.3726231583512651,1.3943204432629879,1.3986204058238263,1.3945210250166131,1.4077836971031699,1.412668910897383,1.4005192171335201,1.3812754781949474,1.3732791339818313,1.4168025384551914,1.3704297677136192,1.3885915769471253,1.4113777204379678,1.428987774754637,1.3989709404657553,1.431392354742969,1.3867355533980326,1.407910760425893,1.4305003416241413,1.3554537427660787,1.4058702205944638,1.364993690040519,1.4150177064431955,1.4050600068632093
ENSG00000092068,45.445886340942245,50.70933321697378,47.261578140565234,42.32454470804592,62.55738841089522,40.863601874000224,76.71962341138038,47.07662928012654,64.09427527691452,49.21883507952689,51.42525505227469,56.483961803127926,56.47848955673524,44.73183253435594,60.450150595083166,59.79445481311714,45.39771215829298,48.23850346388503,65.472088298952,45.99975211519551,54.92791751811314,63.4225634327357,57.69779366863659,55.760186676315584,50.49557745323832,55.997184693281326
