i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
20,dc674030-76f0-412d-8491-586a928803fb.FPKM.txt.gz,0.03726445780506857,0.03884594342463145,0.03916325812275348,0.0385546110952893,0.03845914860651396,0.038792084813075826,0.03843822621938192,0.03885635340846681,0.039009468823994586,0.03838570947775644,0.03935129294986221,0.03833137112424659,0.038786340995236805,0.039031081618285376,0.03801910219571925,0.03837616338572504,0.03814421015659747,0.03854272103672285,0.03791824683857432,0.038541902678814764,0.037768416015874724,0.038299109725080056,0.038133953045131834,0.03825373614941854,0.038888388007253756,0.037844702280523945
21,b30ff193-2e02-443a-9a87-7ab4027bccaf.FPKM.txt.gz,0.03976419565541219,0.03819039925317784,0.03730922572670527,0.03790764151710822,0.037935155720217585,0.03797352921874367,0.03841020240779195,0.0378504346627052,0.03809200985256736,0.037910652017788024,0.03783825796266381,0.03911610002272656,0.03888055372691493,0.037553412756450355,0.038995389952495844,0.03803361716791528,0.038774745839187316,0.03914505231398726,0.03926563662929495,0.038642297583632745,0.03908655343187984,0.03857113192178617,0.03836000522481361,0.0390323691530989,0.03810881644266951,0.03925261383826571
22,23e87533-2220-4b0d-b3e2-43707cb25858.FPKM.txt.gz,0.03996578403973748,0.03813609533596696,0.037237494715139256,0.03864803732861901,0.03803615528793943,0.037816718726518136,0.038570482702099965,0.037534683152003506,0.03803951488095629,0.038261752287138816,0.03772526421244045,0.03898488964185538,0.03830047480416086,0.03723742668768615,0.038703480781242194,0.038373244560044366,0.03883001418193536,0.039227111915432954,0.03905533347435729,0.03909981964474879,0.03836323239460674,0.03837088406826614,0.03887932671932304,0.038566673707129184,0.03866514006355882,0.03937096468709332
23,f387829d-a128-4eda-9d8a-10d63bb1ee9c.FPKM.txt.gz,0.03983276634303747,0.038352434577126386,0.03754262304824977,0.03860889151071917,0.037561241344547705,0.03830165954603096,0.03830100856198044,0.03793816627855854,0.038781484755585675,0.03872058505959005,0.03754433073281413,0.03867318532335634,0.03908433599620065,0.03743690709232571,0.03912391689489604,0.03874755023842986,0.038581310177546055,0.03877186593782143,0.03795295813840305,0.038877403259941344,0.03837927283568831,0.03833121050497832,0.03830929309150933,0.03847214705299461,0.03895988008235641,0.038813571615312216
24,5774022a-7bf2-4fdd-a4a5-f9aa33c2174d.FPKM.txt.gz,0.03957548278482147,0.03837322898245893,0.03729906749482607,0.037228515320120725,0.037747077094164326,0.038143852507466845,0.0381680180976472,0.037869042295196546,0.03994663667104109,0.03828554755513187,0.03773839722741721,0.03875854799505662,0.038014429654332146,0.037489899665229365,0.038970320794551275,0.03880620411631358,0.03868165830174061,0.039142479520808494,0.03854461043182476,0.039263595400003244,0.039198260802209575,0.03820087845682853,0.03779368340951416,0.03849217772634185,0.03772625646302499,0.04054213123192843
25,18ec943b-2068-467c-82df-07c60f4ed200.FPKM.txt.gz,0.03639141005933778,0.03877386080203121,0.039441572432408215,0.038609411951726104,0.03995182080234527,0.03933718217676648,0.03807471936803478,0.03934062229088656,0.03808920054177593,0.03843241300400579,0.03956616452687746,0.038348561867804706,0.0375769558006359,0.039351471550940625,0.03759557131939813,0.03829307739940707,0.03793722495934496,0.03819752106635192,0.03845282131256688,0.03720342250552442,0.03827308716049332,0.03851059581548408,0.03912915458061872,0.03885258363168174,0.038946106012278686,0.037323467061273166
26,d20acb1e-7d44-4a0f-9ad4-2cc39c8fb151.FPKM.txt.gz,0.0383619260712625,0.0384738128859487,0.03825537325669023,0.03855506013296742,0.03844475418988136,0.03845038483447774,0.03891133409841011,0.03841527392586184,0.038910771981587454,0.03845752441135673,0.03884533359989623,0.03840681619381679,0.03870308750463066,0.03823365382508191,0.03919832414303054,0.038738798064382886,0.038309176783408824,0.03782892817717626,0.03789971102870663,0.038343205862972615,0.03821043929409209,0.03858785875638992,0.03842345457210343,0.038393111846575394,0.038901897428773806,0.03773998713051806
27,430d5203-9a93-4e33-94fa-aa4e0970989c.FPKM.txt.gz,0.036135048319173434,0.03881959592433438,0.039858723198848825,0.03930947657626105,0.03947748503328404,0.038619207379177796,0.03835931371195159,0.03914385054760861,0.03892337100284062,0.03829903921690607,0.039976167133023544,0.03864539410038496,0.038136988279123804,0.040023945374781336,0.03672468950547785,0.03791491257863878,0.03804268892793217,0.03797722730523636,0.03845868678253352,0.03711514801154604,0.038220204529662107,0.03841389345714636,0.038731214478450425,0.0385202168654345,0.038859299322449366,0.03729421243779223
28,e78e2bc9-95d1-4ee7-a42f-c548715ca6f7.FPKM.txt.gz,0.03595148553611534,0.03839206640203587,0.039554808186365864,0.0390683644471432,0.03959665479721097,0.038829409461480204,0.03848877194526514,0.03976334208580433,0.03889833547525631,0.03804942550342729,0.040456997085921695,0.0387635359569778,0.03812467310800165,0.039501968347685386,0.037525267546479515,0.03802922530821512,0.038032672767781335,0.03740626886946029,0.03866153541315684,0.0372544998381171,0.03820779211789,0.03861833534099131,0.038904143831161024,0.038315842111555504,0.038816293663805276,0.03678828485269585
29,ac3052a6-d735-4755-9145-80b9f633c838.FPKM.txt.gz,0.039427158064876566,0.03843658917021171,0.03821088944758993,0.03896633416215864,0.038059631156667044,0.038475295762911185,0.03840571650219917,0.0381619532153194,0.03865667336262561,0.03869798815594201,0.03806477453609814,0.03838219141344118,0.03878999356737502,0.03796990581406808,0.03906803581332525,0.03880170042642442,0.03838190048854676,0.03837250869892238,0.03794833625615747,0.03860270281541814,0.037846116533468144,0.03870331786735204,0.038530763302549564,0.03793588256487694,0.03931962502258926,0.037784015878885926
