i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
226,2b5a102d-0462-4fee-a1f1-21dca1390db0.FPKM.txt.gz,0.508071655961,0.136775481756,0.0498615480249,0.126773032946,0.07585661273,0.000602784109104,0.00666829920696,0.0613521201047,0.0333791700416,0.000244881044323,0.0,0.000414414075009
227,7c1d57e4-ea8b-4634-8b1d-65ef201dda59.FPKM.txt.gz,0.561626259656,0.184865413916,0.0673598674187,0.0981796797733,0.0710218919569,0.00125631498757,0.00018711074283,0.00213840848948,0.00740423939483,0.000454411804015,0.0,0.00550640186042
228,13cf1657-4a38-4e8b-a3e4-8223ba78c6a5.FPKM.txt.gz,0.395728349221,0.0984289436323,0.0823595488088,0.128196327441,0.219448648143,0.00243381125482,0.000592851459507,0.0433405619608,0.0261010655725,0.000561648751112,0.0,0.00280824375556
229,10d6ec12-4039-4262-b16d-1bd671b99a57.FPKM.txt.gz,0.507665317139,0.17379217274,0.101214574899,0.123535762483,0.0739271255061,0.00059379217274,0.000215924426451,0.00529014844804,0.00251012145749,0.00437246963563,0.0,0.00688259109312
230,c60f9638-1b5b-4bd5-90f6-c903b8679f2b.FPKM.txt.gz,0.173580926718,0.58131333841,0.0260793157987,0.0300743951731,0.0988225645832,0.000550641438697,7.02946517486e-05,0.0152422236542,0.0288911018687,0.0446839669615,0.000199168179954,0.00049206256224
231,b448bfa4-4ce9-457c-8e63-5bee1a31e275.FPKM.txt.gz,0.505365880031,0.283999675614,0.0316005730814,0.0302489660206,0.111102100397,0.000324385694591,2.70321412159e-05,0.00124347849593,0.0358446192523,0.0,5.40642824318e-05,0.000189224988511
232,d146cc22-0cb0-4adf-b507-95c343419dc1.FPKM.txt.gz,0.258006595823,0.361243434714,0.0636741175034,0.0628679614022,0.13759618908,0.00142909490656,0.000842799560278,0.00191767436179,0.0397947966288,0.0645779894955,0.000781727128374,0.0072676193966
233,2b72861d-7b1b-4b7b-8b9d-1e2fb596bfc7.FPKM.txt.gz,0.349118608649,0.244362802926,0.0958070713539,0.0592369139506,0.110384576494,0.0010111564259,0.000808925140719,0.000707809498129,0.0283292325323,0.0953689035694,0.00188749199501,0.0129765074657
234,12b16f45-0e5e-4c24-85b5-fd05a6482fa2.FPKM.txt.gz,0.577657797254,0.222041982423,0.0355906350628,0.0739655715081,0.0824637435537,0.000871607389294,4.84226327385e-05,0.000774762123817,0.0052780669685,0.000726339491078,2.42113163693e-05,0.000556860276493
235,778e1365-7b5e-469c-915d-c3be22bec7a8.FPKM.txt.gz,0.353419092756,0.057872891584,0.342218362721,0.0931088281181,0.125459951135,0.000603455888846,0.00204586264755,0.00276706602691,0.0117600306143,0.0,1.47184363133e-05,0.0107297400724
236,0b0f745e-573f-4ace-9431-6b17c550b878.FPKM.txt.gz,0.373055828997,0.294403037547,0.0600900014063,0.0562086907608,0.0565321333146,0.00147658557165,0.00067501054704,0.0007031359865,0.0301223456617,0.112811137674,0.00544227253551,0.00847981999719
237,ed82f112-4b2e-416b-89f3-9c408f0f022a.FPKM.txt.gz,0.470534770662,0.130331853731,0.138152610442,0.0663073346016,0.142189811879,0.00120481927711,0.00279010779962,0.00667934897485,0.0237159162968,0.000190234622701,0.0,0.0179031917142
238,39ef3ef1-d868-4c8c-81a1-238451a08f11.FPKM.txt.gz,0.219791585861,0.148540325292,0.0150234013394,0.0521293925995,0.476521087063,0.000271507253122,0.0168851653608,0.0527629095234,0.0175703979521,0.000452512088537,0.0,5.17156672614e-05
239,e3bee637-c8c3-4953-842c-11b16ea1bf73.FPKM.txt.gz,0.526506387687,0.325596016497,0.0317623981491,0.023211950508,0.051881098481,0.000628709385374,7.54451262448e-05,0.00221305703652,0.0176541595413,0.018785836435,0.000301780504979,0.00138316064782
240,ffb473b7-a5cf-4607-b97c-fc78b4719ccb.FPKM.txt.gz,0.24817147009,0.438387018649,0.0292806975054,0.0178493581981,0.158464519254,0.000653911358682,9.68757568419e-05,0.000145313635263,0.0219181399855,0.0815936062,2.42189392105e-05,0.00341487042868
241,73820dc9-48b2-4fce-ae5d-ca8e0a5359d9.FPKM.txt.gz,0.467466116053,0.282057390936,0.0297808132147,0.0679531977975,0.12693244388,0.00185302837781,0.000873570520966,0.0048178737823,0.0150360016942,0.00182655654384,5.29436679373e-05,0.0013500635324
242,378bba31-bcf1-49a1-b1ff-e14278f7054c.FPKM.txt.gz,0.535907254892,0.133950584903,0.073388238997,0.0954729056287,0.12442952316,0.00144258511252,0.000760635786602,0.0237108534858,0.00440644179825,0.000550805224781,0.0,0.00598017101191
243,222a1182-fa38-46be-88c7-0731ba0a81bb.FPKM.txt.gz,0.381717280715,0.332387852628,0.0356713426854,0.0344997687683,0.123539386465,0.00326807461076,0.000246647140435,0.00823184831201,0.00872514259288,0.0711268691229,0.0,0.000585786958532
244,88b3eb4d-02ae-4903-89f5-9ee294ee732e.FPKM.txt.gz,0.180787253983,0.592877225867,0.00534208059981,0.0462846431919,0.0551077788191,0.000334716829562,1.33886731825e-05,0.00105770518142,0.0169366715758,0.101004150489,0.000240996117285,1.33886731825e-05
245,dbebc784-425a-4946-b5e1-cb43c349c398.FPKM.txt.gz,0.4844298058,0.194306613055,0.170245529985,0.0838822824878,0.0569766447087,0.00111215672855,0.000149713405766,0.00149713405766,0.00586021045427,0.00104799384036,0.0,0.000491915476089
246,8a705b7c-4607-4ede-9486-cbeb1191004e.FPKM.txt.gz,0.272816893078,0.321930637434,0.129872434393,0.0416411995505,0.054338610777,0.000315463632958,0.000709793174156,0.000414046018257,0.0102920010253,0.157948697727,0.000926674421814,0.00879354876871
247,1ef4c9a4-403e-4ed2-b9d6-06302a842278.FPKM.txt.gz,0.525683147688,0.212356759356,0.0358468894409,0.105991398883,0.0783716643962,0.000293826962631,0.0,0.019098752571,0.0119667708417,0.0100435398136,0.000293826962631,5.34230841146e-05
248,a8b5d651-3c19-464b-aa1a-9dc46be11044.FPKM.txt.gz,0.366249431881,0.441044601948,0.0322691594295,0.050289280055,0.0390620201698,0.000847572135759,0.000307091353536,0.000294807699394,0.0277856256679,0.0306845680453,0.00319375007677,0.00797209153779
249,6fdbffc8-dac1-4a98-9912-9084b2ce3f28.FPKM.txt.gz,0.250480674423,0.106882271741,0.219039637152,0.274230920923,0.0820720765135,0.00034509958588,0.057804180635,0.00476976927628,0.00032044961546,0.000640899230921,0.0,0.00341402090317
250,1af985f0-777b-4283-b8cb-cddb4ac1e7cc.FPKM.txt.gz,0.387315061848,0.390589376667,0.0169779286927,0.0270434149891,0.0690516614116,0.00361387339316,2.42541838467e-05,0.000897404802328,0.0242299296629,0.0790443851564,0.00111569245695,9.70167353869e-05
251,1916f968-78bb-4ac4-8ddf-0585132076a9.FPKM.txt.gz,0.453324059159,0.184342509884,0.111473129302,0.122821789427,0.0997583833651,0.000329477229463,0.000750475911554,0.00162908185679,0.0119160931322,0.0012080831747,0.0,0.0124469175575
252,6b14871d-013e-4817-9bca-2fd62a71a0e2.FPKM.txt.gz,0.272077242604,0.337460760377,0.0232266861147,0.0515267780702,0.0417446174335,0.00164885689825,7.92719662619e-05,0.000443923011066,0.0370200082443,0.2323778419,0.000697593303104,0.001696420078
253,0633549b-8522-4be3-85b2-055201621efa.FPKM.txt.gz,0.332449852419,0.216352428569,0.109852820111,0.0624861956107,0.132180792322,0.000562215127603,0.000622452462703,0.00106419292011,0.0229705037849,0.0956568881393,0.0136738750678,0.0121277834669
254,8478e2c8-4c90-4e3c-97bc-d201991ad4a6.FPKM.txt.gz,0.51072496425,0.292383469833,0.0239199202669,0.056275367971,0.0539642645636,0.000823330588898,7.22219814823e-05,0.000606664644451,0.0150655053372,0.0440120755153,0.00112666291112,0.00102555213705
255,6095fc44-4542-4435-8e6b-dba09b3f7f92.FPKM.txt.gz,0.497333646102,0.0907655016029,0.152865743999,0.182438032684,0.0380326843381,0.000406599421378,0.000469153178513,0.0276487606537,0.00422237860662,0.00025021502854,0.0,0.00556728438502
256,fd917385-0e99-45cc-91a2-f6bd48c8019d.FPKM.txt.gz,0.389235139956,0.226374788028,0.104675490563,0.0889510427908,0.109190212963,0.000286299469245,0.0245556852468,0.0140727200652,0.029907283018,0.00129935912965,0.0,0.0114519787698
257,1d381b27-88c0-4ddd-87cc-31fbb24525c0.FPKM.txt.gz,0.37126739551,0.348189934497,0.0181822420103,0.0562483973985,0.080607939579,0.000815869833796,0.0,0.00216788270123,0.0306767057507,0.0906081726847,0.00102566493391,0.000209795100119
258,c584b745-3bff-4591-8460-02eb1a00d214.FPKM.txt.gz,0.450298329356,0.137848050915,0.254156722355,0.0390413683373,0.0655131264916,0.000835322195704,0.00342084327765,0.0364359586317,0.00883054892601,0.000437549721559,0.0,0.00318217979316
259,85f00b2b-bee0-4bed-bf31-a344b0fe64a8.FPKM.txt.gz,0.342173901815,0.324587454484,0.0363091702606,0.0259277432017,0.0436433127599,0.00222090230612,0.00010329778168,0.00947757146915,0.00852206698861,0.110502801952,0.0937427368747,0.00278904010536
260,e01aab1d-cbb8-451d-b9b9-ef67ed495c86.FPKM.txt.gz,0.15579987253,0.328871892925,0.0103409815169,0.0192638623327,0.20965583174,0.000414276609305,1.59337157425e-05,0.000159337157425,0.0575047801147,0.199346717655,0.0183078393881,0.00031867431485
261,c258e44b-44c5-43d7-835e-912049ae12c4.FPKM.txt.gz,0.482139305462,0.0834957635546,0.260093878038,0.0822626198337,0.0614384024822,0.00137236962489,0.00783642945225,0.00529058435101,0.00638450216795,0.000596682445602,0.0,0.00908946258801
262,c6d03bd4-42cd-445a-9222-7ea265bd103f.FPKM.txt.gz,0.232895052072,0.363717076058,0.00651080201243,0.023210586395,0.185036429487,0.00067644696233,1.40926450485e-05,0.000310038191068,0.0645020363872,0.120844431291,0.00198706295185,0.00029594554602
263,719e930d-dd49-4e49-97ed-7ce1f253f3cf.FPKM.txt.gz,0.579055883801,0.145802560315,0.10065854259,0.0507447070409,0.0907496307238,0.00446208764156,9.23190546529e-05,0.0047082717873,0.0177560315116,9.23190546529e-05,0.0,0.00587764647957
264,2ec6297f-091b-4744-aaf7-83f86396192f.FPKM.txt.gz,0.202146432238,0.302874743326,0.0419019507187,0.0197157340862,0.271464322382,0.00038501026694,9.62525667351e-05,8.02104722793e-05,0.0547997946612,0.0994289014374,0.00649704825462,0.000609599589322
265,6ad85b23-1f2d-411e-b65e-fefa28732508.FPKM.txt.gz,0.360592592593,0.290264550265,0.0154074074074,0.0839788359788,0.200825396825,0.00488888888889,2.1164021164e-05,0.00315343915344,0.0350899470899,0.00495238095238,2.1164021164e-05,0.000804232804233
266,173d8cb8-d151-4766-b61c-7ecdf8af56ca.FPKM.txt.gz,0.463341655391,0.140801585638,0.14741476244,0.09917859389,0.105563072936,0.000171523317642,0.00154370985878,0.00526004840769,0.0145604238532,0.000514569952926,7.62325856187e-05,0.0215738217301
267,ae42d69a-f6a4-4d03-9f4a-869b71fef8f8.FPKM.txt.gz,0.365868618511,0.338144793605,0.0143525996197,0.0729692707162,0.0611109975261,0.000613358958108,0.0,0.00149250679806,0.080718038887,0.0645662529901,0.000122671791622,4.08905972072e-05
268,a6801749-f1cc-4824-8be9-c86df987b768.FPKM.txt.gz,0.268042293699,0.107186170849,0.24650257076,0.0365201646653,0.0394240131186,0.000324547768307,0.273815827682,0.00860905659088,0.0192166441761,0.000358710691287,0.0,0.0
269,51221b71-eaee-41f0-849f-98ef800ad010.FPKM.txt.gz,0.469464036829,0.100350551168,0.154854922499,0.0931917050302,0.0593614055835,0.00325210119525,0.000316763103434,0.000908054229843,0.00291422055159,0.000992524390759,2.11175402289e-05,0.11437259788
270,2c9d9875-4237-410c-afc2-15d06a034d20.FPKM.txt.gz,0.512487207295,0.108848732949,0.068813295248,0.133914796768,0.0732735576703,0.000549895367132,0.00462828600669,0.00827898024959,0.0814150640781,0.000702644080224,1.52748713092e-05,0.00707226541616
271,7975e611-5e6d-444e-a773-5e131734a1ec.FPKM.txt.gz,0.320366768547,0.304584606835,0.0136148930258,0.110715939613,0.0551449476706,0.000333425951653,0.0,0.000574233583403,0.0819857367787,0.0960266740761,0.0165416319348,0.000111141983884
272,514bf089-668d-46fe-934d-8538e0d88366.FPKM.txt.gz,0.321300937268,0.410060461666,0.0119125216336,0.0331302960149,0.0793643658268,0.000786675956935,0.000134858735475,4.49529118249e-05,0.0461666404441,0.0963565664966,0.000134858735475,0.000606864309636
273,2029581a-86cd-4ea2-82d4-0e085ae1f8f9.FPKM.txt.gz,0.464334524811,0.196304667788,0.0702533641716,0.0923570227082,0.163320016821,0.00049936921783,7.88477712363e-05,0.000551934398654,0.0045468881413,0.00730656013457,2.62825904121e-05,0.000420521446594
274,feb82116-b8c0-41e6-9afd-43cc6f6c0d62.FPKM.txt.gz,0.280283324663,0.346372403858,0.0531033654808,0.0576453639601,0.0835967825843,0.000460202489095,0.000580255312337,0.00182080115251,0.0404177838249,0.133378686622,0.00188082756413,0.000460202489095
275,911f9fce-80fe-4d73-b886-5a51389f181d.FPKM.txt.gz,0.161881052741,0.543890916292,0.00712891453789,0.0416796326157,0.0518072175545,0.00249889200072,0.0,0.0004337699322,0.0900166907126,0.0845379878733,0.0160023385857,0.000122587154752
276,0c37e843-b21b-4d00-b91d-c9d7865200c2.FPKM.txt.gz,0.426717522795,0.161257560711,0.14518822786,0.0631488670218,0.162995395865,0.000654509343685,0.0010156179471,0.0101110408955,0.0143314976979,0.000157985013993,0.0,0.0144217748488
