i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42
358,33ccace3-8a24-44e8-a101-15bd1e8467fe.FPKM.txt.gz,0.0145348451694,0.0271069557722,0.0180889861415,0.0487368211657,0.0554207280684,0.0399045156157,0.013248458325,0.0132086731649,0.00591472714011,0.0796498905908,0.00694914130363,0.0771169020622,0.0116040050395,0.0209004707911,0.00679000066309,0.0006763477223,0.0385783436112,0.00777136794642,0.0316822491877,0.00180359392613,0.0134208606856,0.000198925800676,0.00617996154101,0.00222796896758,0.00115376964392,0.00368675817253,0.00494662157682,0.000464160201578,0.000477421921623,0.00777136794642,0.000106093760361,3.97851601353e-05,0.0261918970891,0.0306876201843,0.000835488362841,0.0,0.00206882832703,6.63086002254e-05,0.262727935813,0.0777269411843,0.0378224255686,0.00151183608514
359,69918dce-8729-48a2-8294-a8b6b72c02e7.FPKM.txt.gz,0.0203239051095,0.0527828467153,0.0410583941606,0.0857892335766,0.0710766423358,0.011496350365,0.0214416058394,0.0234260948905,0.0442746350365,0.0620894160584,0.0127281021898,0.0957344890511,0.0304060218978,0.0522125912409,0.00433394160584,0.00111770072993,0.0181341240876,0.0574361313869,0.014575729927,0.0135948905109,0.013503649635,0.000707116788321,0.00720802919708,0.00447080291971,0.0142107664234,0.0233120437956,0.00492700729927,0.0029197080292,0.000136861313869,0.0238594890511,0.021897810219,0.000889598540146,0.00383211678832,0.0517107664234,0.00337591240876,0.0,0.0221715328467,0.000182481751825,0.00301094890511,0.0417883211679,0.00134580291971,0.0205063868613
360,b9e1ccfb-5124-4f8a-8f6e-8ecfeaa54e9e.FPKM.txt.gz,0.00958317826572,0.0477763304801,0.0630815035355,0.0667333457387,0.0618021957574,0.019585039077,0.0306568663937,0.0454735764793,0.0277726088575,0.000186081131373,0.0359834387793,0.146096948269,0.0206084852996,0.0509629698549,0.000953665798288,2.32601414217e-05,0.0342854484555,0.0609183103833,0.00523353181987,0.0188872348344,0.0563593226647,0.000465202828433,0.0041868254559,0.0173985857834,0.0313546706364,0.0193524376628,0.069780424265,0.00151190919241,0.00027912169706,0.00255861555638,0.000953665798288,0.00253535541496,0.0,0.0103740230741,0.00930405656866,2.32601414217e-05,0.00169799032378,0.00514049125419,4.65202828433e-05,0.018259211016,4.65202828433e-05,0.00176777074805
361,2b856cba-b1b2-4d22-aed7-c5b8ab35415a.FPKM.txt.gz,0.0307289337507,0.00536638344087,0.109148406056,0.0961796460742,0.0721906343832,0.0119465917077,0.0446879192487,0.0355842330544,0.0240209544496,0.0179198875615,0.0264486041015,0.0796652398901,0.0420047275283,0.059605187504,0.00562192550949,0.000159713792883,0.0323260716796,0.076886219894,0.00875231585,0.00673992205967,0.0249792372069,0.000990225515876,0.0058774675781,0.00699546412828,0.00376924551204,0.0276943716859,0.0117229923976,0.00258736344471,0.00220405034179,0.0179518303201,0.0331885261611,0.0,0.000255542068613,0.00814540343704,0.0121382482591,0.0,0.00974254136587,0.0249792372069,0.000574969654379,0.000830511722992,3.19427585766e-05,0.0193573116974
362,3880c844-453a-47f0-a046-922baa28a07a.FPKM.txt.gz,0.0184275699954,0.0208202157579,0.158544263947,0.0779918566092,0.0526801830164,0.0128867061243,0.0654829366579,0.0282919867355,0.0141040171263,0.00117533476053,0.0279142005625,0.0775301179532,0.0444108634513,0.0727028501868,0.00155312093355,0.0,0.0468874616967,0.125970700583,0.00348402804013,0.00172102589934,0.034714351677,0.001595097175,0.00621248373421,0.0255215548,0.0242622675566,0.0340847080552,0.00889896318684,0.000545691138815,0.000251857448684,0.00377786173026,0.000125928724342,0.0,8.39524828947e-05,0.00243462200395,0.000965453553289,0.0,0.000377786173026,0.000503714897368,0.0,8.39524828947e-05,0.00113335851908,0.00184695462368
363,a12ff0ad-8580-4cec-9e63-1175335f0316.FPKM.txt.gz,0.04084263249,0.00287261076124,0.0347475417081,0.0352263101683,0.0706735903952,0.0546532611498,0.019445365153,0.0336611055869,0.0138290428314,0.0267926196,0.0164254410194,0.0757190733989,0.0460538430376,0.0337163481015,0.014860236438,0.00123374949361,0.115733068169,0.0156336316429,0.040676904946,0.00602143409568,0.0328508820388,0.000865466062682,0.00859941811218,0.00441940117114,0.000534010974846,0.00191507384083,0.0167568961072,0.00338820756454,0.0,0.0227967443745,0.000220970058557,0.000110485029279,0.000681324347218,0.125253194859,0.0030935808198,0.0,0.0028541965897,0.00252274150186,0.0432548889625,0.00983316760579,0.0172909070821,0.00394063271093
364,7972a299-f3bb-43a5-b75f-a1cf3c998bc5.FPKM.txt.gz,0.0325265147538,0.00585424761105,0.0588837551192,0.0485928803948,0.0870786516854,0.0251758899506,0.0272498162344,0.0439987398929,0.0380132311246,0.0136511603486,0.0376194476531,0.0645279848787,0.0596450698309,0.0327365326053,0.00464664496482,0.000420035703035,0.0561797752809,0.0273285729287,0.0350992334348,0.0409797332773,0.0659456053765,0.000997584794708,0.0063530400084,0.00803318282054,7.8756694319e-05,0.00183765620078,0.0548934159404,0.00181140396934,0.000341279008716,0.0194529034968,0.00294024992124,7.8756694319e-05,0.000682558017431,0.0536858132941,0.00782316496902,0.0,0.00210017851517,0.00546046413945,0.00417410479891,0.00598550876825,0.00147012496062,0.015646329938
365,c27a0a56-cde3-4e53-b02d-8a2ca66b5d1d.FPKM.txt.gz,0.0234309980581,0.00708478265509,0.0345489852969,0.0479716608694,0.123791639103,0.0466059196347,0.0214037259128,0.0212970273788,0.0182241096007,0.0852734683425,0.0178399948785,0.0544375920275,0.0568276391882,0.0383687928128,0.00802372975395,0.0112887048932,0.0950257143467,0.0126757858347,0.0776338533109,0.00520688845735,0.0255863084441,0.00224066921321,0.0103710975011,0.00465205608075,0.0110753078253,0.000682870617358,0.0129105226094,0.00381980751584,0.000149377947547,0.00413990311773,0.00384114722264,0.000106698533962,0.000320095601886,0.0419325238471,0.00172851625019,0.0,0.00138708094151,0.000469473549433,0.0381980751584,0.0125690873007,0.0155139668381,0.00134440152792
366,05ec8eb6-0940-49e0-ab1e-8ec6cd850bb9.FPKM.txt.gz,0.00329661088218,0.0214952485073,0.0482549827601,0.0158775544529,0.00916659658565,0.00479354133378,0.130148852073,0.012109999159,0.00428895803549,0.00847699941132,0.066319064839,0.192263056093,0.0144983601043,0.0299049701455,0.000555041628122,1.68194432764e-05,0.0288789841056,0.048372718863,0.00329661088218,0.000420486081911,0.0197628458498,0.00107644436969,0.00179968043058,0.0542258851232,6.72777731057e-05,0.000201833319317,0.0141115129089,0.00825834664873,0.127340005046,0.00346480531494,0.000168194432764,0.0776721890505,0.000134555546211,0.0128332352199,0.00962072155412,0.000437305525187,0.000168194432764,0.00343116642839,0.0167185266168,0.00403666638634,0.000117736102935,0.00191741653351
367,7ff71ff2-38d3-46b3-b2a3-105377beb504.FPKM.txt.gz,0.0133891868614,0.00381709274557,0.0320635790628,0.0575304388678,0.0957796656618,0.0242923697295,0.0180479974944,0.0139177073954,0.0149355987942,0.0905727596602,0.0104529616725,0.0377598559292,0.0322006029049,0.0339036135145,0.00616607289668,0.000489370864816,0.0586657792742,0.0133500371922,0.0650276005168,0.00921974709314,0.0170496809302,0.00405199076068,0.0037192185726,0.00211408213601,0.0266609247152,0.00117449007556,0.00833887953647,0.000234898015112,1.95748345926e-05,0.0184590690209,0.0095720941158,1.95748345926e-05,0.0759895078887,0.00681204243824,0.000215323180519,0.0,0.00283835101593,0.000137023842149,0.169909564264,0.0154445444936,0.00297537485808,0.00268175233919
368,fefd7990-acb5-4d6b-9bfa-b1a474e368d7.FPKM.txt.gz,0.015241400333,0.00949656482285,0.0662180223697,0.0940511642085,0.0822097685652,0.0195324407344,0.0269186578188,0.0343986681361,0.029568316646,0.10160151945,0.0176331277698,0.0692428541281,0.032100733932,0.0705090627711,0.0061434567496,2.34483082046e-05,0.0208924426103,0.0557835252187,0.0153820901822,0.0258869322578,0.0248317583886,0.0005158627805,0.00623724998241,0.00590897366755,0.0117944990269,0.003095176683,0.016390367435,0.00400966070298,0.000187586465637,0.0276455553732,0.0203062349052,0.000844139095364,2.34483082046e-05,0.0402841934954,0.0144910544704,0.0,0.0135765704504,0.00173517480714,0.000234483082046,0.0130138110535,0.000117241541023,0.00192276127277
369,175f6491-e372-44ee-9108-3228812e2f1c.FPKM.txt.gz,0.00422748952161,0.0149226766874,0.0506395432866,0.0243532302356,0.0234318543142,0.00551018933372,0.0512176615118,0.0174158115335,0.00534759358289,0.00108397167221,0.0558787397023,0.145649660356,0.0180842607313,0.0280387339211,0.000469721057956,1.80661945368e-05,0.0219504263622,0.0490497181674,0.0013730307848,0.00285445873681,0.0400708194826,0.00171628848099,0.00113817025582,0.0492484463073,0.0,0.00131883220119,0.0722828443417,0.0162595750831,0.0506937418702,0.0208845208845,0.000487787252493,0.137537939009,0.0,0.00784072842896,0.0573601676543,0.00812978754155,0.00373970226911,0.000903309726839,0.00180661945368,0.00619670472612,9.03309726839e-05,0.000776846365082
370,6bc9fb91-4915-4afc-b685-80ce6d6d6650.FPKM.txt.gz,0.00396715051072,0.0229316129989,0.0636968652096,0.0235433698534,0.0123092894351,0.00608049237158,0.0698700480136,0.021893480155,0.0057838829876,0.0043379122407,0.0619542850787,0.0175370298278,0.0154051498804,0.0415067756706,0.00354077452125,0.000333685556977,0.0246556550433,0.0615279090892,0.00255825593682,0.0247112693028,0.0196318336021,0.000537604508463,0.0028363272343,0.0625104276737,0.000129766605491,0.00126058988191,0.0100476428823,0.03568581651,0.0520549468884,0.0135698793171,0.000370761729974,0.150566338543,0.0,0.0603600096398,0.0529262369538,0.0316630517398,0.000593218767959,0.00164988969839,0.00756353929147,0.00700739669651,0.000111228518992,0.000778599632946
371,d39a7d6b-a424-483a-abb6-cb11ec9a263f.FPKM.txt.gz,0.018509219981,0.00446714570167,0.0387672063025,0.0260410354082,0.0348194961475,0.0478400138516,0.0268721322829,0.024015236776,0.00760107350013,0.0330534152887,0.0360315124232,0.0432170374859,0.0213488009696,0.0285689550688,0.00583499264133,0.00180070989525,0.0584364990044,0.0285343260324,0.0185784780538,0.00654488788849,0.0607566444464,0.000796467838282,0.00526361353995,0.0383862869016,0.000865725911177,0.00296078261622,0.026647043546,0.0136438403601,0.0379880529824,0.0151675179638,3.46290364471e-05,0.00439788762878,0.00344558912648,0.0931347935244,0.0228724785733,0.00566184745909,0.00964418665051,0.00363604882694,0.0996969959311,0.0104233399706,0.0320145441953,0.00167950826768
372,8377d811-2636-4a75-be84-8e201ca646c1.FPKM.txt.gz,0.00581187054655,0.0537996098881,0.0504756976235,0.0227299868636,0.00881732415111,0.00622984753792,0.111520242029,0.0168185979857,0.00463755423749,0.00575215954779,0.0493610923132,0.144580231679,0.0172763823096,0.0476493770152,0.00131364197285,1.99036662553e-05,0.0227498905298,0.0737629871422,0.00264718761196,0.00163210063294,0.0229290235261,0.000199036662553,0.00348314159468,0.0607857967438,5.9710998766e-05,5.9710998766e-05,0.0174953226384,0.0192468452689,0.100593129254,0.00529437522392,1.99036662553e-05,0.00334381593089,5.9710998766e-05,0.00955375980256,0.0380160025477,0.0425540384539,0.00105489431153,0.0215556705545,0.00358265992596,0.00155248596792,0.000477687990128,0.000497591656383
