"","MMdarkred","MMorange","MMdarkturquoise","MMlightyellow","MMcyan","MMlightcyan","MMroyalblue","MMdarkgrey","MMblack","MMdarkorange","MMsalmon","MMgrey60","MMturquoise","MMred","MMmagenta","MMpurple","MMgreen","MMyellow","MMdarkgreen","MMlightgreen","MMgreenyellow","MMtan","MMbrown","MMmidnightblue","MMblue","MMpink","MMgrey"
"ENSG00000256436",-0.0176542460284919,-0.0232962082038641,0.0295443069637494,-0.0399977044258936,0.0181494019657031,0.025030981541555,0.025552640482099,0.0547193313551949,0.382297308640768,0.282554151809458,0.779591962268345,0.499143395260363,0.815724245910588,-0.00210186910180672,-0.072684354877848,0.000999898833343541,0.00560737195205581,-0.0340804679785498,0.00552428129087303,0.0797030332562491,-0.0503047257250951,0.0794764176756571,0.00931776670958704,0.0121999164414678,0.00738077275414125,-0.0335052171063452,0.00802342670951231
"ENSG00000256940",0.0569226816370555,0.046571687842309,0.061262266222709,0.20360094390793,-0.11030761903498,-0.0458980166800823,0.0283364249121919,-0.063582881869572,-0.0425706313774063,0.00273962543282959,-0.0793911503466435,-0.0698431780371651,-0.0681708776715934,0.0241595780634043,0.337875499406172,0.0778510344720711,-0.0101356163820549,0.0225172377114381,0.0362797627249877,0.0305892445241011,0.0981949761283225,-0.0190901212040418,-0.0285300217447155,0.000722097251093395,-0.175427289155584,-0.140475409572187,0.221563168100241
"ENSG00000256973",-0.0402886435358279,-0.00483171474439988,0.0737891734708204,-0.0747449901196851,0.0149585521801869,0.0239005020047595,0.0446002311525242,0.0594929211529363,0.285702594225875,0.269188062153765,0.346282324514919,0.574937590771303,0.84595522065497,-0.0154589300344066,-0.138280672088836,-0.0142719195624878,0.0221105793251189,-0.0441440349773948,-0.0137199770080354,-0.0231493545161837,-0.0883900999066714,0.0722447406518793,0.00853004938197361,-0.00184631627709017,0.0872456755949556,0.0371881599786741,-0.084730008958336
"ENSG00000257017",-0.0152314803985338,-0.00651026638587115,-0.00842290836609751,-0.00485612106852586,0.0730018303780789,-0.00872601978736985,-0.000234995878123929,-0.00197581715708427,-0.00292581449222157,0.00306315685420874,-0.00445974755347411,0.00249186075163318,-0.00633450057687567,0.990203679020742,0.0471862185756199,0.0012986693634127,-0.0172347181589537,-0.0174223078927656,0.000101180486953412,0.00110255081034108,-0.00485441053560476,-0.0264339664065484,-0.00129690125312747,0.0122984512965011,0.00925428571300181,0.000923741528919774,-0.00452799374412026
"ENSG00000257225",-0.0108563301123046,-0.0105600440022575,0.0515608857907183,-0.0241267571629729,-0.00888366931345298,0.00103922040057441,0.0462798539223185,0.0387863571249892,0.223720317345223,0.550396615438032,0.622622029538651,0.44905873897668,0.785575009239253,-0.0036648651494616,-0.0613261893383773,0.00126355849950363,0.0361102515874332,-0.00818641070449551,0.0253225518570428,0.0586557137955617,-0.025980304308711,0.146567524774038,0.0087739660971602,0.00986845896249946,0.000998502255510398,-0.0264459925804353,0.0950178420123071
"ENSG00000257243",-0.0258132714848789,-0.0129870217042743,0.0439596179362414,-0.0456325196452415,0.0318435272831174,0.037068994414091,0.0363106523827205,0.049999367836463,0.270603315887555,0.517211428162367,0.501723664607217,0.485816564222808,0.911648455610755,-0.0126939208825633,-0.0869280438858893,-0.00238639390506998,0.0541400114175111,-0.0101527078511152,0.0205869067113436,0.0141848168713577,-0.0688945923428458,0.0995726133573719,0.0117744117935655,0.00147850475221222,-0.0138849976363932,-0.0442938698000297,0.0166469465953556
"ENSG00000257246",-0.0218407647384154,-0.013619193542792,0.0361566422468098,-0.0346885829299131,0.00172378477304766,0.0232829172978167,0.0447646464107753,0.0487420749154972,0.300384271745512,0.401989593219856,0.49316596876666,0.501680027817254,0.884524948829906,-0.00165778087217701,-0.0783833118637546,0.000474230225635336,0.0345962631824977,-0.0308668964377312,0.00942094892067736,0.0348600047133572,-0.0529755867195167,0.088046403713522,0.00813284675877303,0.00510860195758696,-1.80109737189151e-05,-0.0347889532283943,-0.0243021796692344
"ENSG00000257270",-0.0620616793487102,-0.0198893269870832,0.0183497311017277,-0.0413012054327583,0.024260398825082,0.0524058964975155,0.110831480963082,0.037861528216584,0.120641579425907,0.132331832772863,0.202873434288561,0.394428396796906,0.520809936955719,-0.00701395786752829,0.0217722264590919,-0.0140186616139255,-0.0561778148799684,-0.0557936799353132,0.00943048727282786,-0.0366525534454086,-0.031717142281803,-0.0330005151324619,-0.0205082181251913,-0.0179962037055009,-0.0569104682915562,0.0221379318030362,-0.245659389294217
"ENSG00000257279",-0.0207146266675406,-0.00684422227668016,0.0824974930682355,-0.0370824501589718,-0.00140550658653133,0.0203324077198679,0.0242821527519877,0.0378589302495259,0.307510752520423,0.356713814754206,0.391133785354402,0.606215542300722,0.958325796617623,-0.00056940764396967,-0.0743769358351851,0.00157289843339185,0.043678613137919,-0.0239885295841026,0.00717137285366592,0.00503764962914196,-0.0614229159660879,0.111571556394648,0.00862871484034153,0.00219606850512057,0.00425427176148388,-0.0237450949745755,-0.00793509302161298
"ENSG00000257337",-0.118770182482266,0.0640209397723867,0.0455246769736033,-0.00677499013105299,0.213395147787309,0.0854867756034913,-0.0245143610063439,0.0116840818325179,0.0189143190652819,0.0214679990662108,0.00334935315100467,0.114410976196814,0.0946080560818528,-0.0114918979692484,-0.011506544636194,-0.0351029768270825,-0.00870533635319707,-0.194955427974051,-0.0261476927980433,-0.0672036257066286,-0.170061563633341,-0.200892867899849,-0.0301730557874704,-0.0389988550782709,-0.0147809037624552,-0.0581092151649034,-0.419675166156744
"ENSG00000257509",-0.0364654525586758,-0.00846415599195841,0.0693112337691992,-0.0414878479085998,0.015562569698908,0.0261760070550715,0.037139979892703,0.0448689539627081,0.280480641324335,0.265730478483463,0.612700249402294,0.641635438721666,0.910524894704892,0.00186572364270751,-0.0728129651184835,-0.00692420819303048,0.00478430955812779,-0.031667545556403,-0.00660454527374684,0.0266531599384463,-0.0629562332787931,0.0678548249674785,0.00210640157521317,-0.00159856850835242,0.00266749133805326,-0.00862508734067466,-0.0769123806200316
"ENSG00000257704",-0.0658513472813355,-0.130131810214485,-0.11661177299377,-0.0269657229442686,-0.0886704910847492,-0.0583802717391519,0.0333311471390541,-0.0561448920377222,-0.081922901913364,-0.0540737561777714,-0.0746320679854583,-0.0696110736617492,-0.106065861894573,0.0302100233488142,0.611215408444907,0.137053673945637,-0.0754482332078806,0.0799208905852698,0.0450827072794373,-0.0337600625663026,0.576168503251645,-0.0454731837904027,-0.0224015644035669,0.0124609444531148,-0.076658353609467,0.0514529165928522,-0.0504406047550808
