i_doc,doc,MEdarkred,MEorange,MEdarkturquoise,MElightyellow,MEcyan,MElightcyan,MEroyalblue,MEdarkgrey,MEblack,MEdarkorange,MEsalmon,MEgrey60,MEturquoise,MEred,MEmagenta,MEpurple,MEgreen,MEyellow,MEdarkgreen,MElightgreen,MEgreenyellow,MEtan,MEbrown,MEmidnightblue,MEblue,MEpink,MEgrey
1120,0cb461ea-1a40-4f29-97d8-9337a74bc6c7.FPKM.txt.gz,0.0051050112255461,-0.000505720036315117,-0.0013988486998785,-0.006754285727284279,-0.00842373673739398,-0.011495321309246,-0.0023148729601840104,-0.00209370997944399,-0.0018479654177334399,-0.00528292697906866,-0.004759037055580779,0.000364007313219319,-0.00175903384654784,-0.00368361746824196,-0.0208864906875635,-0.00419386725722414,-0.0191388718237924,-0.0197013692991335,-0.0043494549387489605,-0.00166885270209114,-0.00906225339272506,0.0155868540008333,-0.00303903781858128,-0.00505125767843439,-0.0133843062709085,-0.00625600999820147,-0.0339070458017765
1121,d8a963cd-8c5d-4b31-86bc-ecaf7e74b456.FPKM.txt.gz,0.000129590341228398,-0.0043444033776686,-0.0061718415261911895,-0.009206404340093,-0.0087730565820303,-0.007097030681521429,-0.0012404626826153901,-0.000327129592537101,-0.0035269294818541103,-0.00293468022681327,0.00034468245320837997,-0.008416002440677141,-0.00403645506857746,0.000610986232613707,-0.00933650690706408,0.00290295396496674,-0.0124330688466088,-0.0103045572662495,-0.0027418400127549396,-0.007201254793334041,-0.0086676887216599,-0.0111928209148377,0.00349423385671707,0.00155077820708921,0.0508295128487377,0.0465311813615273,0.0175422302571073
1122,5762891c-adc4-4d52-9927-2af194da03e1.FPKM.txt.gz,0.0600011856680024,-0.00516335191806932,-0.0051601318660435295,-0.00250586490234388,0.00141158334811699,-0.00410369677569375,-0.00225625902882816,-0.00790391074994877,-0.00201126567290055,-0.0058666237749301,-0.0050298274494532,-0.000168019084726406,-0.00029844228072135496,-0.00170928657546512,0.020147610295178,0.00170479668784736,-0.0169483693555083,-0.011203791157903,0.0153228554742183,-0.00554923362964791,-0.00263183525074728,-0.0138438714589605,-0.000631831900891526,-0.00370038271688296,-0.0136922684259665,-0.0131465278910091,-0.0195035246133887
1123,9f9209c4-5e84-4efa-9fcc-60766c36e082.FPKM.txt.gz,-0.0027620420206918898,-0.0189561342496971,-0.0126443123266527,-0.008541174106267141,-0.0120718597189996,-0.0139307370289673,0.00106401045236467,0.00297504174157295,-0.00233156025660164,-0.00542975718674971,-0.00595152914792515,-0.00655242785343524,-0.00531169051092213,0.000546458612770202,0.0154672794176519,0.000739711467864663,-0.0215502304423997,-0.0123430150095417,0.010507138231980998,-0.00499743890258756,0.0139671014729244,0.0182849749234613,0.00045308383362629696,-0.00194672346949152,-0.0053477151377907895,-0.0106098646432233,0.0013104764033056802
1124,36725a42-52bc-4e9a-bb7c-728fbb8b1d19.FPKM.txt.gz,0.0010565462820122699,-0.0122124184105584,-0.00929094288538957,-0.0048325432105722,-0.0102467862137501,-0.0083359650526751,0.0013657545941442599,-0.0040425471386366105,-0.0036183439280325,-0.0043176652818359,-0.0033928712833234302,-0.0047276482425656794,-0.00582267052244352,-0.000532554332516952,0.0132390736333646,-0.0018894098718992,0.00607706070600944,0.0402306175443792,-0.000714931577832083,-0.0021470925179454302,0.0288327145802306,-0.00304051783166592,-0.00175494245007797,0.000242181320284361,-0.00714660965854635,-0.0106492187962155,-0.008291917682689241
1125,3fcf11cb-f4ef-4adf-ae8c-f6f225fafebd.FPKM.txt.gz,0.0029920762619438396,0.010313046087603,0.00388761698957207,-0.00187997816926052,-0.0169177832713705,-0.00179825206864063,-0.0024835232321406,0.0017645799546982198,-3.32537726490802e-05,-0.00602784515141139,-0.007059426671128821,-0.00403028079800628,-0.0032003490517517,-0.00399517102881051,-0.0103915465685471,-0.00391045245245076,0.00230796264887212,-0.0156222636992625,-0.00124578706037546,-0.00600642674966364,-0.0118999286771782,-0.010625889306838,-0.00335139382466402,-0.00351202837094125,-0.0150443438759,-0.0188380256380966,-0.00434370517114895
1126,1d293e9f-7672-428c-be8d-3d180c8e8590.FPKM.txt.gz,-0.0036528211176020797,-0.00676050100407049,-0.0054592570526279995,-0.00810971157745821,-0.0120474595484388,0.0210274621266306,-0.00169252727528743,-0.0035541239152524205,-0.00287243178130931,0.008119995584063441,0.00183195950983174,-0.00136070568742838,0.00172152985733262,0.00244877367533872,-0.0157042559439155,0.00334193542956678,0.0809092928655532,0.10171524979558601,-0.0022326299615861,0.000130925246753048,0.0020831947755434697,0.00133033161449439,-5.22375007686291e-05,0.0052841519114892,0.00245783578765408,0.0112663742365178,0.0105024247121837
1127,892b14a6-b2b6-4860-a7fc-f65beac8530e.FPKM.txt.gz,-0.00690898136465932,0.00145062873552051,-0.0026012211401738898,-0.0036834227634616,-0.0181344489486568,0.00491611198978208,-0.00213859945596378,-0.000851722400028943,-0.0012220533872344,-0.00673191983048261,0.00194989468203642,0.00473489183225002,-0.0011921280324548099,-0.00440508496918556,-0.0179263787119019,-0.00387023898255805,-0.0186434939658084,-0.0191081159228062,-0.00680143675728761,-0.00768761995515824,-0.0137706016795808,-0.0120127186065464,-0.00173578313778269,0.0110147461012399,-0.00855927289603089,-0.0155921602022935,-0.0374910563856134
1128,e14e717e-76d5-4474-a3ad-b902f7c157bf.FPKM.txt.gz,-0.0049862149310456,-0.0061043308687161,-0.00806556815013797,-0.00487986469083089,0.00162902341276929,-0.0104187938791626,-0.00247805492837195,0.0179639625733212,0.0013945078184261599,-0.00607044621992519,-0.0014557841701496302,0.0101062641527347,0.00328683296188379,0.0010813277853294,0.0049729796245411,-0.0021470382680162103,0.1564865462674,0.0190865898075697,-0.00944118258716006,-0.000478163256100491,0.00877493858187549,-0.0091672345596075,-0.00159494119200925,0.000606251141191246,-0.00642323485006687,-0.00420976731228666,-0.0241963717439647
1129,efab89c4-921c-4b89-9bff-78c1cf10417d.FPKM.txt.gz,-0.00973029960025325,-0.0009451180787565859,-0.00324019015626728,-0.00887636831901672,-0.0153480228997681,0.020247672934953997,-0.0023237063739641396,-0.00631031590222109,-0.00258280982944954,-0.00461818998524046,-0.0038134820651765603,-0.00694553382920096,-0.00442414670341155,-0.0027638904812213,-0.0154737481955354,-0.00171375858271582,-0.0122206894134413,-0.0104965490643232,-0.00248712283254971,-0.00694549407311817,-0.00851421242129899,-0.024783260983275004,-0.0021101058722338,-0.00222263134480204,-0.0141055590825003,-0.0165078185701794,0.0630109191027075
1130,92d61df7-5fb6-440d-8a44-fcc1f51c2aee.FPKM.txt.gz,0.00720665891423257,-0.00802607010114665,-0.0109776899702332,-0.00940189611447263,-0.0128272806474399,-0.00226544994249149,-0.000224635541105706,-0.000664832038210108,-0.0029275107689432397,0.00101342897193442,0.00267467585235826,0.000790035369368903,-0.0035578977491897397,-0.00116829326457735,-0.0130873187661022,0.00246689691573434,0.008167961007427959,0.0169434102573723,-0.00039967401998379303,0.00804769530123283,-0.00631831866711918,-0.0104471315744875,-0.00159679782847168,-0.0024735533805166398,-0.0100488036846953,-0.00468933175584776,0.007968787532368009
1131,6577de41-48a3-4933-94de-64553f13bf05.FPKM.txt.gz,-0.0110546310426215,-0.007294895075781079,0.00310832143843148,-0.00867580341804048,-0.0121485196215964,-0.0116662660514348,-0.00244734829951718,0.00964384501912175,0.20344438153834102,0.00146418091163592,0.0128362712363686,0.00190647056503522,0.018171175354589002,-0.00391073151944919,-0.0152485331284656,-0.0038530623276343398,0.07166120533452901,-0.0117453460389246,0.0036602897483142796,-0.0033351126675901397,-0.0131242798962166,0.0133205920836158,-0.00221438214912963,-0.000574696791844347,-0.0106645136489265,-0.0146744249530155,-0.0233099152032718
1132,5c0f9cb8-cc53-49ce-8384-6acb54cb1855.FPKM.txt.gz,-0.00407377679309202,-0.00989443698951419,-0.00721139068261159,-0.00827787373382979,-0.0026189513531398,-0.00767624855000809,-0.0010852524795705,0.00361839953732922,-0.00121359302450102,-0.004515456313331821,-0.0008569798893100469,-0.00422453923703703,0.000330831672104833,-0.0035463677060258705,-0.0186546915444926,-0.00366134008359897,-0.0165487879744559,-0.00910452543294545,0.0014870166441811302,-0.00248997663036851,-0.0111637271593328,-0.011386435768463998,-0.00198403199412066,-0.00153450892868675,0.00378633197876949,0.00257599745648835,-0.0175925091350771
1133,46927791-e908-49eb-8ad8-21158fc1549a.FPKM.txt.gz,-0.00537810273493801,-0.0142489968051567,-0.00297455292969292,-0.00478506505986988,-0.0144883078800511,-0.0144249183764635,0.00138984962381828,-0.009001403425708609,-0.0026813299425998698,0.0108722358554363,0.0015266542086610699,-0.0041789556272878395,-0.00521931769420851,0.007583511352248979,0.0827040075549072,0.0234994385696156,-0.0031718780124795898,-0.00838315886539005,-0.00291596561545203,-0.0123004505377512,0.00582060469380325,-0.0172661260878086,-0.000405463549574411,0.00219245845754523,0.0037098627049209,0.0195665240252983,0.043670918645155
1134,8e21887e-f3ca-4c2c-819a-538952264c23.FPKM.txt.gz,0.00332297471338237,-0.00149331605346286,-0.007921693074495079,-0.00946664330485227,-0.0131609377288639,-0.00255733197972541,-0.0021592624895219,-0.00696860481654566,-0.00345757475055126,0.0470006103341077,0.00173645971481168,-0.00429159487845744,-0.00212147769107834,-0.000841195699337031,-0.0220243879335417,-0.00226451175644265,0.00663118677163189,0.0173507069631812,-0.00217311132605074,0.00447509922670065,-0.008945400325983609,-0.00861691104526618,-0.0013629867603678699,-0.00359238009685084,-0.00844467473400851,-0.00937546655873757,0.0681479838526898
1135,67943973-e57a-4285-bd6e-995053d23fe0.FPKM.txt.gz,-0.0083217630133796,-0.0118079653663121,-0.0142000747027449,-0.0101257248133895,-0.00960740601177253,-0.0055299510917311894,-0.00244440382825713,0.00206416846744435,-0.00529223615081128,-0.00408522636438779,-0.000258175725369715,-0.0073114012161526794,-0.007147353479610859,0.0019721771678656397,-0.00769711950293622,-0.0029901203015442104,0.00562182074345976,0.0123835902019397,-0.000632346898612184,0.00218619008610691,0.0221048848331103,0.00943757892615037,-0.0021806741069699802,0.005119280674513779,-0.00493383877708106,-0.0035216928530636296,0.0479059343277056
1136,071c5b23-9ae3-4bc7-8a07-ce39445c8429.FPKM.txt.gz,-0.00573184079360503,-0.00493649174251176,-0.00646659327963054,-0.0100862305639213,-0.008100419604529641,-0.00540043762825627,-0.00202718192157126,0.00242086796717507,-0.00434853051984592,-0.00325815349166313,0.000589800142848481,-0.007139571648529621,-0.0035611688142329298,-0.00164051002700151,-0.0154547406581255,-0.00232041545867005,-0.0145923177175842,-0.000708089753675845,-0.00617621160860911,-0.0073019569785579,-0.00137878581440881,-0.00493801707855382,0.00414813380600586,0.0112800237609964,0.13538694184351902,0.079267909225323,0.00965146597574342
1137,e733093b-8a60-46d7-9ddd-ec8a82206126.FPKM.txt.gz,-0.0126272420963727,-0.007451906069647691,-0.00657745580145853,-0.00913735754091752,-0.0025088062331356,-0.00196268135976974,-0.00244903085452292,-0.00587838451296636,-0.00415361021744596,-0.00849257928572175,-0.0032715768163362603,-0.00691404794206743,-0.005922050483111879,-0.00315538103193425,0.0048862921817849105,-0.00197749201170482,-0.0171310787099172,-0.00915775712493298,-0.0105903533351262,-0.00496852632815236,0.0029133793100861198,0.0304415258516892,-0.00269149332089745,-0.000624344971189424,-0.0038623173776130702,-0.007157558474870009,-0.0137680905581035
1138,e9dd15eb-0841-4c8a-a6f1-3285cb1703dc.FPKM.txt.gz,0.0054656299050569795,-0.0155429641589324,0.106921565335262,0.0430662064781109,-0.0168447679645333,-0.0113468287424248,-0.00221017084984681,-0.00267442816570812,-0.00420113246274903,-0.000868200493014255,0.00292071976580806,-0.00904289638015721,-0.007254592576905971,-0.00461826913829375,-0.00986380252733993,0.0447004550616951,0.0112317476246749,-0.0177341923913145,-0.00425202319141676,-0.00127135303208314,-0.0157055592799019,-0.0228919412376262,-0.0030215039825379803,0.00012022275731113899,-0.0142984279485494,-0.00597704305549233,0.0580491282043501
1139,01f17467-b7de-49d4-a9d7-00108f4de1f9.FPKM.txt.gz,-0.009749585863950791,-0.00106131284342138,-0.009118291867008991,-0.008954486758484521,-0.00869385321884993,-0.00658455966965132,-0.00207934112674922,0.0024130482155466197,-0.00365078356243109,-0.0041163930672778,-0.000999897243627176,-0.00622392376186146,-0.004950389544954321,0.00688354475931664,-0.0184161518371117,0.0026809424388035603,-0.0153515285560029,-0.0104345944139827,-0.00555512908324181,-0.00934850244500547,0.00276012447574678,-0.00407884779647217,0.0234162217406514,0.00327617035130333,0.13872971029195402,0.0741040735826076,0.0111430805685958
