"","MMpurple","MMturquoise","MMbrown","MMred","MMgreenyellow","MMpink","MMmagenta","MMgreen","MMyellow","MMblack","MMblue","MMgrey"
"GPIHBP1",0.230803451633856,0.906404234516793,0.188597908661044,0.322504775278608,-0.0325714746725258,-0.0866607406043202,-0.17481764941011,-0.460512250608902,-0.524819981579035,-0.41747879056328,-0.665821684352322,-0.375900563179357
"GPM6A",0.311584631312669,0.883271342485256,0.173332122511644,0.357631787162127,-0.0875553167132267,-0.0822669417844973,-0.178121253898309,-0.515965212974202,-0.498461776575038,-0.404844584568782,-0.659008525702965,-0.320110544830238
"GPNMB",0.412379973943074,-0.0402733871198607,0.0712508046333388,-0.0199266839334218,-0.216037485979748,0.0555385762152287,-0.0155164323544278,0.204631521156322,-0.0497433714033676,0.22081859657222,0.41988142945335,0.501406989944478
"GPR101",0.0337856515266023,-0.0686227643743405,-0.0627005625914703,-0.061751456776167,-0.101705228066305,0.0118373421328342,-0.0165364204301856,-0.00986417663457642,0.0189603715451955,0.0484108258072697,0.0912733379031304,0.15668378809504
"GPR110",-0.0306978475299546,0.205103793296324,0.101726030425709,0.230768607699185,0.371591081731596,-0.0965931634108793,-0.0854562064138864,0.0121290612363813,-0.0668212240781878,-0.221611242714999,-0.124414676631134,-0.311343890809239
"GPR116",-0.00994163215662019,0.8609854280324,0.1379599992574,0.330396479940678,0.172735296213948,-0.14544062856447,-0.229194872386701,-0.381394076546447,-0.491682604965541,-0.537870504147143,-0.765614107726621,-0.606147072346175
"GPR128",0.0594135204613876,-0.17507077629187,0.0416799568664987,-0.0163360311046506,-0.0444355945697531,0.0532018389579705,0.06036712552792,0.147420542629124,0.159354629295033,0.153292308080178,0.207879721213386,0.154397484580665
"GPR133",-0.0536182347772509,0.809635459945108,0.14343170622102,0.242293843357966,0.108619468543403,-0.113329344736361,-0.207086207525304,-0.367726835532398,-0.444025749585127,-0.473522124769821,-0.752206506020196,-0.564135569702182
"GPR139",-0.0584851061046212,-0.0115953060650099,-0.0632349875659589,-0.0334741372008412,-0.0332822072573808,0.0194521710694689,0.000158915857691971,-0.0185615998994984,-0.0249263795382851,0.021335380354618,-0.00752269177639651,0.0348716813592847
"GPR146",0.308951961061447,0.837379989077742,0.188846559589683,0.316672928332245,-0.0991571300724626,-0.0521319090845022,-0.164607140761858,-0.403270971654239,-0.46652464328027,-0.358228003815707,-0.544192449881279,-0.220176440810656
"GPR15",-0.0283152025973285,0.127343470095527,0.517693123705592,0.180613069686999,0.0639556478915701,0.00722608752951016,-0.005640311371385,0.196215674201858,0.163369795713551,0.0448791148106139,0.0300905432134493,0.0378380971426765
"GPR171",-0.0767476854027703,0.474755324568998,0.657258638091201,0.345941465704389,0.141404121007627,-0.0945963996651614,-0.112680846853938,-0.00778449455443383,-0.127610521224557,-0.303136410097429,-0.369548559840088,-0.325182514594132
"GPR26",0.0252921403205614,-0.0773400603514031,-0.0216336705787859,-0.0228300562241098,-0.121126121653649,0.0642135324803691,0.0473796536305328,0.0528160426261754,0.0434295519927941,0.163222506304582,0.142951055905867,0.27048832516747
