,Topic 1,Topic 2
HIST1H3G,184.69541442786505,48950.8877991888
HIST1H3H,994.0121671739505,181162.95200335188
HIST1H3I,100.34829467555919,15022.458761576518
HIST1H3J,148.64281409490118,23528.257766454164
HIST1H4A,117.08978047346406,17906.191677776915
HIST1H4B,431.19012299507034,51368.712319390615
HIST1H4C,445.4032763791522,69627.58735588772
HIST1H4D,600.9309138384089,80074.26800193108
HIST1H4E,249.50231528093227,52363.07386207696
HIST1H4F,73.27743700561071,10332.131276666421
HIST1H4H,1725.2492490463658,313702.8439206613
HIST1H4J,2904.2109958160604,566877.6278151287
HIST1H4K,176.1496391250641,34408.12387000772
HIST1H4L,98.20262206091111,12662.898786977992
HIST2H2AA4,26431.41808006922,5080482.938031112
HIST2H2AB,215.30905781966692,37185.604687413186
HIST2H2AC,949.7063645414297,175187.0119805441
HIST2H2BE,4634.047274201266,781578.2974402058
HIST2H2BF,1492.1670853435999,309293.56440006086
HIST2H3C,162.07786400108188,29905.941932202393
HIST2H3D,219.65877933662844,39261.34197140817
HIST2H4A,2291.5488831285506,572711.1024250968
HIST2H4B,1388.1647070321196,240437.66297463264
HIST3H2A,1740.8437157851731,382212.8704070213
HIST3H2BB,301.83656040790686,49252.409710659995
HIST4H4,433.450368374447,85002.24483803229
HK3,4659.450127092667,772064.0377986464
HLA-DMA,50298.32784542593,7115647.006694097
HLA-DMB,24694.61084693291,4552468.250878808
HLA-DOA,5646.61135310826,1020112.1468772497
HLA-DPB1,98894.73261279058,16745194.264866412
HLA-DQA2,5961.682027027123,1080173.5184536374
HLA-DQB2,7708.009300352269,1176804.353618623
HLA-DRA,313262.36587336217,65688121.84600485
HLA-DRB1,144167.75647005596,25464372.695278496
HLA-DRB5,69242.95049661104,9832306.840499401
HLA-G,1268.3232510842288,197011.25348987148
HLF,1864.5412832323052,290035.8640688453
HMGA2,506.9631591607427,162952.81643450816
HMGB3,23007.49485302397,4095568.5268129497
HMGB4,9.273256811332667,1031.9132195120512
HMGCS2,373.3223081448753,77243.70065498138
HMOX1,14656.645424986622,2913040.6908880663
HMX3,3.4142958122982527,1323.9963419799665
HNF1B,1437.6134965172857,390749.46193556365
HOPX,77086.82670870806,13285510.689837344
HOXB13,142070.5705463609,3012740.119137104
HOXB8,233.56704102291658,56796.31951705716
HOXB9,391.44211253064896,78810.69674488541
HOXC10,667.1222030772082,130565.33697968333
HOXC11,391.14690204217686,58675.41708833413
HOXC13,309.57234445918675,52324.36626114074
HOXD11,220.52994802760006,86750.71271809386
HOXD12,8.682689760222745,3805.031435302745
HP,53551.8150787048,6950510.042539476
HPD,204.99846338545612,49513.36724141835
HPGD,16433.266236592404,2331925.1564306295
HPGDS,1414.0963500171233,222551.0253887575
HPN,5996.4202613304105,958952.1481346326
HPR,155.62921048124426,33682.86316476308
HPX,321.9447630683364,52022.114721771606
HR,556.5728231046625,216215.8673448217
HRASLS2,606.4119298502309,120717.0031839397
HRG,26.09791270631085,7361.539640459277
HRH3,10.350208502502005,1488.3606350031832
HSD11B1,3514.065117388008,512207.15840798663
HSD17B13,499.42492546216465,73961.12548923508
HSD17B2,845.6504952973246,142238.9336143028
HSD17B6,5569.188978025433,1385215.7476684048
HSD3B1,13.33869243590672,15577.133713719308
HSD3B2,18.699019718524614,2411.2748700935745
HSFY1,6.522802912055069,915.4794432514212
HSPA1B,48998.011311741335,10776294.725461153
HSPA2,2300.7935698811857,439535.0030164442
HSPA6,3465.2800523233363,557054.064223142
HSPB3,624.3182267260909,92789.47946889885
HSPB6,11789.221483741061,1443982.0729955768
HSPB7,2240.623086527977,270856.8334157288
HSPB8,12329.465701494675,1608568.7072676376
HTN1,81.37053866017531,12442.494707955122
HTN3,7.029951913436758,997.514798597412
HTR1A,2.745134918046446,238.8371866919582
HTR2C,34.83042523331855,14957.752524664193
HTR3A,399.7246157476139,60221.116168084256
HTR3B,15.623243927326493,1732.7784886018399
HTR3D,1.9483156417891516,448.0013936807391
HTR3E,10.61255904816931,2538.4595476516197
HTR5A,1.8352295193985433,430.603164514408
HTR5A-AS1,1.5629165746156335,429.25932063166533
HYAL1,4032.6737464897824,842176.4441640942
IBSP,244.0379357166024,33857.49527601051
ICAM1,57384.364169067,8034818.451789457
ICAM2,12806.22900908398,1906205.9522362545
ICAM4,1948.3247462920774,389202.8623472553
ID1,20812.984531806596,4914271.612316976
ID4,4435.530271602152,698880.6353088209
IDO1,7110.56535421157,1251706.6855600935
IER3,21024.808517580233,4586015.976292832
IFI44,8604.457530753562,1413532.5145521937
IFI44L,3878.863826411244,527865.3051927034
IFI6,67363.36162950481,11480223.263872448
IFIT1,5207.129173661593,922744.790772958
IFIT3,7062.1144669088735,1132901.4801341253
IFITM5,61.199630128613684,7371.193559650537
IGDCC3,19.619689173405288,3055.796754238072
IGF2,7228.520975140828,1020748.5696701056
IGF2BP2,3516.596868046793,768294.3904079063
IGFBP1,241.97958123196736,31433.476560480238
IGFBP2,45811.30976172911,14179585.277714755
IGFBP3,25593.392246747626,6989197.985155295
IGFBP5,15496.49070840743,3774215.4747812236
IGFBP6,8025.891845536633,1686734.1881648945
IGFL1,625.0567433480995,193257.21617516474
IGFL2,668.7173434064797,172530.4736079298
IGFL3,479.81915472858105,43941.1308056341
IGLL5,21641.956960608703,4926940.661163291
IGSF10,2929.3463326402707,382526.69655738457
IGSF23,14.881974289441871,2805.279408015319
IGSF6,3971.6621112634616,688830.2928090708
IGSF9,955.580903218954,393848.7745457529
IL10RA,4387.809201823915,738127.9059616479
IL13RA2,520.3793136470474,90981.2704676515
IL17REL,61.97674323095846,10789.528010998367
IL19,135.16850223525248,16070.11091311614
IL1A,968.586893625291,171527.7906592022
IL1B,3093.6903194073066,583651.843885229
IL1R2,2164.39989955665,532158.7196904779
IL1RL1,4163.913814537889,734030.7723677168
IL1RN,6739.2507898949025,1522588.14821839
IL20RB,1261.6864967079603,377111.07497229363
IL2RG,10911.850801144334,1585838.3301217605
IL33,9702.007460645616,1105255.2754196238
IL36B,64.23431369937418,9470.230679938111
IL36G,315.06907681502986,220234.68659666152
IL36RN,840.6402920483683,117749.83713535927
IL37,968.0663632174636,111242.66952102132
IL6,14602.691680868289,2388471.225799411
IL7R,9328.92053964877,1395911.516435418
IL8,14287.437596911672,3187871.223892871
INA,149.01875179599716,44097.36326162576
INHA,875.1954336628089,131055.91230958393
INHBA,2543.6483047155543,473373.1983541611
INMT,19418.28974482199,3230288.2820916455
INPP5D,5083.364759732955,752537.289552552
INS,10550.936119591344,878090.7528832698
INSL4,146.4506174911744,18375.62405322422
INSL6,29.66512347539998,4099.74010617065
INSM1,185.32509985902797,28408.6392906568
IQCF3,2.284905283332276,298.04790926917195
IQCF5,1.9479183350087672,197.92968663541626
IRF8,3485.418341138442,575616.6067771489
IRS4,25.693177171954495,13490.212438899027
IRX2,3504.4154172311505,740562.5680852155
IRX3,5559.921732382806,1033190.9140653565
IRX4,130.1243516431006,65306.5962813836
ISG15,28083.54539381759,4999510.935925688
ISM2,32.65556289447852,15957.774216592727
ITGA1,3657.7068280923845,606615.9116714498
ITGA6,6403.557840009231,1760113.9957559325
ITGA8,2288.53806453363,321228.6371962935
ITGAL,4558.028748148472,704263.2956060278
ITGAM,3562.4262599860576,544644.8587931829
ITGAX,6013.407486985928,1060172.346683465
ITGB4,14381.940656218776,4711377.846721412
ITGBL1,5785.255524365496,856793.7485786607
ITIH2,504.42492918951103,60269.58120019088
ITIH5,4016.0581475112926,471304.35539455415
ITLN1,6552.805169372887,1634329.036274644
ITLN2,4330.134017879222,844159.8697033875
ITM2A,8228.713161464366,1195456.6030129916
ITPKA,890.5565511115964,144457.03461501488
IVL,926.2401116546678,320741.0133028186
IYD,884.8689569067911,79165.50644054428
JAG1,4784.227642947544,1273075.4227387565
JAM2,4064.633826873487,507516.39393915934
KAL1,3436.1962645500785,653411.903715351
KANK2,18656.746061010803,2728135.0887111537
KANK3,2454.5846379606082,344289.83775412303
KCNC2,29.415037832433075,2827.4834536751237
KCNE1L,48.166355996812605,10981.518429423175
KCNE2,118.56268453641279,20399.40397890596
KCNE3,2308.9477028878205,461520.70985325286
KCNE4,1198.7193083974964,181142.8735900579
KCNH6,72.29568679083486,12931.749140799024
KCNJ15,4535.895587374344,1118305.6364574532
KCNJ3,15.09396998290559,3709.770588261281
KCNJ4,6.858603496361241,2635.3852654372586
KCNK16,18.201858430544394,2463.253270649004
KCNK3,2110.922809374625,346835.6573458033
KCNK5,2496.5024853136897,354311.86831362615
KCNN4,4852.474931416864,742127.6971337828
KCNQ1,3326.421990837035,582331.4648917774
KCNQ2,104.37033518222135,18164.620833730805
KCTD1,1682.806777396094,608436.9531839374
KCTD12,8008.3972567990695,1158802.195675434
KDM6B,3406.020176930323,684700.6521864438
KDR,3991.606492715563,623139.5680806726
KHDC1L,273.8450065084184,82265.02157898189
KIAA0101,3163.8825201465766,892658.6032416596
KIAA0408,1479.4608227404144,302935.01445601997
KIAA1199,2360.3458138627934,441205.6374838197
KIAA1324,3263.8934230117015,596745.018070128
KIAA1324L,2910.4962168860798,592149.8337629742
KIAA1462,5380.201078487375,782687.0771809833
KIF12,748.6681546758937,113367.72651813742
KIF1A,594.4753581097739,143635.54163804316
KIR2DL1,235.4535252226227,20478.606540050576
KIR3DX1,44.896372767294345,5608.460181738126
KISS1,174.59493751798678,34745.55731667225
KIT,3323.2754701451568,506521.9345326205
KLF2,8076.874280512392,1311333.3325221662
KLF4,9436.331445711894,2120112.936781211
KLF6,17876.88157376305,3337188.0924041346
KLF9,6299.852333261464,1001935.9813650791
KLHDC7B,393.54682586120566,120268.15172967133
KLK1,532.9431662019327,102616.32103002469
KLK10,6283.7997992740475,1039233.7461623999
KLK11,11993.295831668653,1568163.5017124144
KLK12,3072.8536032362667,414423.195973509
KLK13,1296.5790962959572,206524.11033529762
KLK14,647.4877718222549,94725.57245931365
KLK3,30.88163552949074,7782.6804078179875
KLK5,1174.0459080393912,165398.85273382196
KLK6,622.3537056527883,182387.32844191845
KLK7,1169.4970484004546,189932.65991118143
KLK8,1206.1362921897648,320864.68160080875
KLK9,122.10271689579577,19376.53386346529
KNG1,43.82962165714088,7308.287156976981
KPRP,84.17691046293154,12488.777978687973
KREMEN2,169.49636716530074,116117.25883575708
KRT1,1080.0224283032358,164014.54799124936
KRT10,5102.6419943028495,1032955.3537965621
KRT12,8.199416212176363,1706.9639998500686
KRT13,19073.045804791473,7169510.200810444
KRT14,52136.75823411833,11488544.639752422
