Cluster 1,Cluster 2
,TCGA-44-4112-01A-01R-1107-07
,TCGA-55-8085-01A-11R-2241-07
,TCGA-05-4395-01A-01R-1206-07
,TCGA-78-7162-01A-21R-2066-07
,TCGA-44-2659-01A-01R-0946-07
,TCGA-91-6848-01A-11R-1949-07
,TCGA-05-5425-01A-02R-1628-07
,TCGA-55-A491-01A-11R-A24H-07
,TCGA-97-8179-01A-11R-2287-07
,TCGA-J2-8192-01A-11R-2241-07
,TCGA-50-8460-01A-11R-2326-07
,TCGA-05-5428-01A-01R-1628-07
,TCGA-O1-A52J-01A-11R-A262-07
,TCGA-05-4396-01A-21R-1858-07
,TCGA-49-AAQV-01A-11R-A39D-07
,TCGA-44-2655-01A-01R-0946-07
,TCGA-05-4402-01A-01R-1206-07
,TCGA-MP-A4TE-01A-22R-A466-07
,TCGA-55-8514-01A-11R-2403-07
,TCGA-97-7941-01A-11R-2187-07
,TCGA-05-4425-01A-01R-1755-07
,TCGA-55-6983-01A-11R-1949-07
,TCGA-97-7937-01A-11R-2170-07
,TCGA-95-7562-01A-11R-2241-07
,TCGA-78-7143-01A-11R-2039-07
,TCGA-99-8033-01A-11R-2241-07
,TCGA-71-6725-01A-11R-1858-07
,TCGA-49-4486-01A-01R-1206-07
,TCGA-55-8090-01A-11R-2241-07
,TCGA-86-8073-01A-11R-2241-07
,TCGA-44-2665-01A-01R-0946-07
,TCGA-73-7499-01A-11R-2187-07
,TCGA-S2-AA1A-01A-12R-A39D-07
,TCGA-44-6775-01A-11R-1858-07
,TCGA-55-7994-01A-11R-2187-07
,TCGA-55-A494-01A-11R-A24X-07
,TCGA-75-6203-01A-11R-1755-07
,TCGA-50-5930-01A-11R-1755-07
,TCGA-67-3771-01A-01R-0946-07
,TCGA-38-4625-01A-01R-1206-07-1
,TCGA-69-7978-01A-11R-2187-07
,TCGA-78-7540-01A-11R-2066-07
,TCGA-78-7160-01A-11R-2039-07
,TCGA-55-8513-01A-11R-2403-07
,TCGA-38-4631-01A-01R-1755-07
,TCGA-44-5644-01A-21R-2039-07
,TCGA-86-8075-01A-11R-2241-07
,TCGA-64-5779-01A-01R-1628-07
,TCGA-05-5423-01A-01R-1628-07
,TCGA-05-4434-01A-01R-1206-07
,TCGA-05-4249-01A-01R-1107-07
,TCGA-73-4675-01A-01R-1206-07
,TCGA-44-3918-01A-01R-1107-07
,TCGA-78-8662-01A-11R-2403-07
,TCGA-62-8395-01A-11R-2326-07
,TCGA-78-7148-01A-11R-2039-07
,TCGA-44-3918-01A-01R-A278-07
,TCGA-55-7907-01A-11R-2170-07
,TCGA-J2-A4AD-01A-11R-A24H-07
,TCGA-73-4666-01A-01R-1206-07
,TCGA-44-6779-01A-11R-1858-07
,TCGA-73-4662-01A-01R-1206-07
,TCGA-55-7816-01A-11R-2170-07
,TCGA-49-AARO-01A-12R-A41B-07
,TCGA-50-5049-01A-01R-1628-07
,TCGA-55-6712-01A-11R-1858-07
,TCGA-05-4424-01A-22R-1858-07
,TCGA-44-7667-01A-31R-2066-07
,TCGA-99-8032-01A-11R-2241-07
,TCGA-38-6178-01A-11R-1755-07
,TCGA-44-6147-01A-11R-A278-07
,TCGA-NJ-A4YQ-01A-11R-A262-07
,TCGA-97-8171-01A-11R-2287-07
,TCGA-64-1681-01A-11R-2066-07
,TCGA-69-7979-01A-11R-2187-07
,TCGA-05-4426-01A-01R-1206-07
,TCGA-55-8092-01A-11R-2241-07
,TCGA-MP-A4SY-01A-21R-A24X-07
,TCGA-95-7948-01A-11R-2187-07
,TCGA-86-6851-01A-11R-1949-07
,TCGA-50-5931-01A-11R-1755-07
,TCGA-49-4506-01A-01R-1206-07
,TCGA-50-6592-01A-11R-1755-07
,TCGA-49-AAR4-01A-12R-A41B-07
,TCGA-75-7025-01A-12R-1949-07
,TCGA-49-AAR0-01A-21R-A39D-07
,TCGA-86-8055-01A-11R-2241-07
,TCGA-95-7947-01A-11R-2187-07
,TCGA-55-A4DF-01A-11R-A24H-07
,TCGA-05-4250-01A-01R-1107-07
,TCGA-73-4677-01A-01R-1206-07
,TCGA-55-7724-01A-11R-2170-07
,TCGA-64-5774-01A-01R-1628-07
,TCGA-55-6985-01A-11R-1949-07
,TCGA-71-8520-01A-11R-2403-07
,TCGA-50-5935-01A-11R-1755-07
,TCGA-97-7552-01A-11R-2039-07
,TCGA-62-A46U-01A-11R-A24H-07
,TCGA-55-8094-01A-11R-2241-07
,TCGA-MP-A4TJ-01A-51R-A262-07
,TCGA-50-8457-01A-11R-2326-07
,TCGA-95-7944-01A-11R-2187-07
,TCGA-55-8512-01A-11R-2403-07
,TCGA-55-8621-01A-11R-2403-07
,TCGA-73-4668-01A-01R-1206-07
,TCGA-L9-A50W-01A-12R-A39D-07
,TCGA-73-4659-01A-01R-1206-07
,TCGA-J2-A4AE-01A-21R-A24H-07
,TCGA-55-8206-01A-11R-2241-07
,TCGA-05-4384-01A-01R-1755-07
,TCGA-44-A479-01A-31R-A24H-07
,TCGA-44-2665-01A-01R-A278-07
,TCGA-97-8176-01A-11R-2403-07
,TCGA-55-1596-01A-01R-0946-07
,TCGA-49-AARR-01A-11R-A41B-07
,TCGA-44-6778-01A-11R-1858-07
,TCGA-75-5146-01A-01R-1628-07
,TCGA-78-8640-01A-11R-2403-07
,TCGA-L4-A4E5-01A-11R-A24X-07
,TCGA-49-4490-01A-21R-1858-07
,TCGA-69-7765-01A-11R-2170-07
,TCGA-55-8506-01A-11R-2403-07
,TCGA-NJ-A4YI-01A-11R-A262-07
,TCGA-55-5899-01A-11R-1628-07
,TCGA-73-7498-01A-12R-2187-07
,TCGA-91-8497-01A-11R-2403-07
,TCGA-91-8499-01A-11R-2403-07
,TCGA-44-3396-01A-01R-1206-07
,TCGA-78-7539-01A-11R-2066-07
,TCGA-86-7711-01A-11R-2066-07
,TCGA-MN-A4N4-01A-12R-A24X-07
,TCGA-44-8119-01A-11R-2241-07
,TCGA-50-6595-01A-12R-1858-07
,TCGA-55-7728-01A-11R-2187-07
,TCGA-MP-A4T8-01A-11R-A24X-07
,TCGA-55-6975-01A-11R-1949-07
,TCGA-44-7671-01A-11R-2066-07
,TCGA-67-4679-01B-01R-1755-07
,TCGA-55-7914-01A-11R-2170-07
,TCGA-4B-A93V-01A-11R-A39D-07
,TCGA-05-4432-01A-01R-1206-07
,TCGA-44-7660-01A-11R-2066-07
,TCGA-69-7980-01A-11R-2187-07
,TCGA-86-A4P7-01A-11R-A24X-07
,TCGA-75-6207-01A-11R-1755-07
,TCGA-73-4676-01A-01R-1755-07
,TCGA-44-4112-01A-01R-A278-07
,TCGA-78-7220-01A-11R-2039-07
,TCGA-78-8655-01A-11R-2403-07
,TCGA-78-7537-01A-11R-2066-07
,TCGA-50-5946-01A-11R-1755-07
,TCGA-97-8552-01A-11R-2403-07
,TCGA-86-8672-01A-21R-2403-07
,TCGA-49-AARE-01A-11R-A41B-07
,TCGA-44-2666-01A-01R-0946-07
