i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
43,ab1f0023-6b52-41b6-9867-87599e4d6d60.FPKM.txt.gz,0.20333333333333334,0.011666666666666667,0.5366666666666666,0.19333333333333333,0.03333333333333333,0.021666666666666667
44,94dcaa51-315e-43d9-875c-4c4ae2e9bef3.FPKM.txt.gz,0.2074688796680498,0.004149377593360996,0.529045643153527,0.2095435684647303,0.022821576763485476,0.026970954356846474
45,6a818968-d75b-44b5-8b1e-53ff8274ea92.FPKM.txt.gz,0.22188449848024316,0.007598784194528876,0.48632218844984804,0.23252279635258358,0.028875379939209727,0.022796352583586626
46,f790ef4c-71bf-43a7-a610-4006a4c0a42c.FPKM.txt.gz,0.17801047120418848,0.006980802792321117,0.537521815008726,0.22164048865619546,0.031413612565445025,0.02443280977312391
47,ee6beadb-79ab-4f2f-87cc-bba566e6bc24.FPKM.txt.gz,0.20517241379310344,0.0034482758620689655,0.5224137931034483,0.2103448275862069,0.03103448275862069,0.027586206896551724
48,0d38dab7-b983-4829-9a5b-d79f0fee6f26.FPKM.txt.gz,0.22955523672883787,0.01291248206599713,0.4720229555236729,0.23385939741750358,0.027259684361549498,0.024390243902439025
49,ba65f95e-4a58-4378-925b-60f864c4f5de.FPKM.txt.gz,0.21656050955414013,0.009554140127388535,0.5270700636942676,0.20382165605095542,0.030254777070063694,0.012738853503184714
50,0b5a79f8-be5b-4b72-b5e9-a764a70b2b38.FPKM.txt.gz,0.1596330275229358,0.003669724770642202,0.544954128440367,0.25504587155963304,0.012844036697247707,0.023853211009174313
51,6f618400-b914-4103-bf46-9c026b470aa0.FPKM.txt.gz,0.17735849056603772,0.0037735849056603774,0.5679245283018868,0.18867924528301888,0.03773584905660377,0.024528301886792454
52,609420eb-0650-4187-8b48-cb1ea5fa0d8d.FPKM.txt.gz,0.22487223168654175,0.010221465076660987,0.534923339011925,0.1788756388415673,0.03236797274275979,0.018739352640545145
53,05eb3daf-d392-4ede-87d6-8f0aef8b6372.FPKM.txt.gz,0.2344931921331316,0.009077155824508321,0.4629349470499244,0.23600605143721634,0.028744326777609682,0.028744326777609682
54,27035d6f-4b2d-48ef-ae2b-b3cf52d67903.FPKM.txt.gz,0.2306338028169014,0.0035211267605633804,0.5264084507042254,0.18838028169014084,0.03345070422535211,0.017605633802816902
55,133909c8-05bc-41ea-97aa-44eb699da75f.FPKM.txt.gz,0.2310077519379845,0.004651162790697674,0.4930232558139535,0.2124031007751938,0.031007751937984496,0.027906976744186046
56,4dcd18d6-b7b2-4a92-bcbe-361c7278e84e.FPKM.txt.gz,0.22351233671988388,0.00725689404934688,0.46008708272859217,0.21770682148040638,0.027576197387518143,0.06386066763425254
57,26bfd2ed-0d81-48ae-afd5-cf61b249bc14.FPKM.txt.gz,0.21217105263157895,0.008223684210526315,0.5263157894736842,0.20723684210526316,0.03453947368421053,0.011513157894736841
58,9ae1330c-a197-416a-9d5f-3ca16b36ec90.FPKM.txt.gz,0.20465890183028287,0.011647254575707155,0.5074875207986689,0.23460898502495842,0.03161397670549085,0.009983361064891847
59,4f6e9a85-31c9-468b-b121-1e235f159010.FPKM.txt.gz,0.23003194888178913,0.006389776357827476,0.5047923322683706,0.2124600638977636,0.02875399361022364,0.01757188498402556
60,bf78430f-6c70-4e76-ade6-a434e0770d5f.FPKM.txt.gz,0.19967266775777415,0.0032733224222585926,0.5351882160392799,0.20949263502454993,0.027823240589198037,0.024549918166939442
61,8ddc8e8b-d131-4f4e-96ec-078ced613de6.FPKM.txt.gz,0.151618398637138,0.008517887563884156,0.5127768313458262,0.2708688245315162,0.020442930153321975,0.03577512776831346
62,ffd7b10e-8c0c-4aeb-81a0-b060108d57fa.FPKM.txt.gz,0.2265625,0.009375,0.478125,0.225,0.0328125,0.028125
63,6f2d3476-cfb8-4e9e-abd0-266cc679d0df.FPKM.txt.gz,0.15637065637065636,0.003861003861003861,0.5424710424710425,0.25096525096525096,0.015444015444015444,0.03088803088803089
64,26e8feed-d934-4dbc-8b04-d771b2a65915.FPKM.txt.gz,0.22274881516587677,0.007898894154818325,0.5086887835703001,0.2132701421800948,0.030015797788309637,0.017377567140600316
65,fe07bbb2-6d46-44b4-8363-1e1b8d648660.FPKM.txt.gz,0.2347266881028939,0.003215434083601286,0.5128617363344051,0.19614147909967847,0.03215434083601286,0.02090032154340836
66,fd3c752c-4a40-4ae9-bfb0-b0315eca3d1d.FPKM.txt.gz,0.20411985018726592,0.0056179775280898875,0.5786516853932584,0.15917602996254682,0.03745318352059925,0.0149812734082397
67,053e76fc-4063-4039-9bac-bfbe73929d0e.FPKM.txt.gz,0.18992248062015504,0.007751937984496124,0.5794573643410853,0.17054263565891473,0.031007751937984496,0.02131782945736434
