"","MMgrey60","MMsalmon","MMyellow","MMbrown","MMblue","MMmidnightblue","MMcyan","MMgreen","MMmagenta","MMred","MMblack","MMpurple","MMgreenyellow","MMlightcyan","MMturquoise","MMpink","MMtan","MMgrey"
"ENSG00000227227",0.0178673117219788,0.00171090302826153,0.0866811777114926,0.012361946511242,-0.00451899351395911,-0.0133132312222356,0.00192776582890248,0.0616628596793013,0.0479812746918282,0.00874839036511472,0.0518345140172004,0.0743738565964761,0.11357033241012,0.237236937218625,0.980627323294629,-0.0476834945345659,-0.00664715931721218,-0.0399930563985612
"ENSG00000227230",0.00996558859289621,0.00980935149235596,0.09205541328084,0.0351444360337747,0.00967406914236724,0.033692894448308,-0.0123304606593097,0.0689391640805161,0.0259405036832499,-0.00207013965131383,0.0498972552445686,0.0793422665999549,0.108880339151652,0.248127050310598,0.944202022521947,-0.04874357700433,-0.00909995752481751,-0.107777434364672
"ENSG00000227409",0.0246049152739544,0.000264210681034908,0.104341949721996,0.00241233160325189,-0.00198657119912205,0.00669306580393252,0.0128478181695834,0.0410106237301254,0.0364647983053961,0.0109240096062799,0.0547057921629001,0.0703026778617828,0.105745408904415,0.236370463679864,0.983890236882664,-0.04951597440754,-0.0053899270631927,-0.0663231188339357
"ENSG00000227507",-0.000583395146540364,0.0622090675211556,0.0669218970007052,0.233995126916921,0.0174931648321585,0.00427254518975989,0.133429799309074,0.0669969089854961,-0.0452653620872915,-0.027551221214455,-0.0508371347838929,-0.0642554088033188,-0.0529910507848064,-0.0567732034322437,-0.0460615426635966,0.0140269054831488,-0.0411961230284239,-0.252404490013137
"ENSG00000227671",0.0121057717858557,0.158196383589162,0.073091990907488,0.0332747157723371,-0.0526866768704032,0.0349629264645436,-0.0279939671507379,-0.0680564440263107,-0.0158063462366415,0.0223897014955934,0.0362809031221537,0.0344553359331747,0.111034546372849,0.270371907571814,0.70710697862396,-0.0423065304912793,0.0164249699504668,-0.176210032581349
"ENSG00000227766",0.0369784769168267,-0.0313822722888028,0.0767382918538115,0.176289949978237,0.109752800885443,0.0755944137995079,0.104514108856862,-0.0858817052260422,-0.0274996815617734,0.0406342170353549,-0.0787824774579524,-0.0850162619427368,-0.025024209961757,-0.0597873362109424,-0.066334545711169,-0.0459105502588255,-0.033321437446248,-0.212122776471561
"ENSG00000227879",-0.0365534697615344,0.0104437126455663,-0.0735912194292155,-0.181204639633263,-0.153196888644617,-0.184515802047731,-0.0250115423342389,-0.0378593012276215,-0.0101420501379317,0.00407028842633097,0.0906777680781821,0.494674339621867,-0.0188498000991569,0.0545085297744148,-0.00266796375805432,0.0164752431467546,0.229055576305611,0.444185371483103
"ENSG00000227945",0.0181283267388687,0.00563642782374381,0.0885394616599525,-0.00490533711959755,-0.0278930171351046,-0.0292103551301508,0.0110324390870776,0.0420322041584328,0.035858223821165,0.0111506021859932,0.0616867168279755,0.07908601571852,0.0985343712439876,0.226564375255891,0.966891986712878,-0.0444471506316947,0.00876426981184771,-0.0261049061968326
"ENSG00000228037",-0.0102751884458708,0.0530866421943065,0.0836030821732728,0.0959355878677047,0.000122678350354503,-0.0140425167323493,0.00346375349085319,-0.0428648524820226,-0.0261648327982802,-0.0175881239059712,-0.0334187005051458,-8.21136491545673e-06,-0.0042516692553851,0.0195980203285505,0.0565163880990257,0.014187896078427,0.0306564032818356,-0.125165496183696
"ENSG00000228060",0.0334246518700738,0.00141647789599706,0.0955800151423594,-0.0313203967687417,-0.0221851888170101,-0.0194633641713784,0.00347306085892533,0.00871743370143092,0.0355736974051741,0.00905947921613702,0.228580125627523,0.0868401393250189,0.187865415501214,0.234653421943006,0.892387759826974,-0.0180340039604809,-0.00105188063987288,-0.0348364197920067
"ENSG00000228078",0.00470413137587029,-0.035843808443603,-0.00103439832599095,0.0887926976280922,-0.0146536427730372,-0.0277773355634535,0.0213247512731033,0.0293058452372471,0.0118018096650976,-0.0225489513740398,-0.0174048763201223,-0.0242236517850087,0.000208314030593646,-0.0246426992664211,0.0202881153723578,-0.0274773275221614,-0.0302708054273503,-0.093221600135008
"ENSG00000228109",0.00622265330675027,-0.0208014204189983,-0.128485366722803,-0.244329849560194,-0.267700480849216,-0.3285299124799,-0.00476786474064878,-0.0707169954377753,0.035149837550714,0.0548911718398925,0.251446018412369,0.214644251861444,0.0461861399951778,0.052275204752062,-0.0242299863601014,0.0725699230342093,0.310177695864874,0.643324069035085
"ENSG00000228288",0.0195288660621026,-0.011616072400749,-0.173395623732773,-0.326399935085751,-0.311075674938162,-0.324277084352193,-0.0292730323596087,-0.0192678881946795,0.19370972289848,0.000556997756780971,0.068170945018685,0.110910176273965,0.0181506457253259,0.0230024633019818,-0.0811289891303692,0.102240999330129,0.116200151862462,0.316174035921417
"ENSG00000228314",0.0410254799649847,-0.00424110451698767,0.00310294383036049,-0.0791636782933447,-0.0597483980448002,-0.0697522865073281,-0.0143177578765326,-0.12369932156979,-0.0156402097903569,-0.0166594510989691,0.0441659947601439,0.147430708718685,-0.00386101589873978,0.0292654482695462,0.00811488282705626,0.0320889123486358,0.0595771649490554,0.213636163995051
"ENSG00000228363",0.017736437676793,0.00452754490137736,0.12236456254684,0.025831448248867,0.0271591524478498,0.0249997895551046,-0.00691789162292081,0.049620966084098,0.041603750494116,0.015832342929759,0.0798045299648601,0.0914413432560215,0.104306091544956,0.260292378279657,0.98903813695113,-0.0363861678528546,-0.00214911981008034,-0.0819921885164403
"ENSG00000228446",0.00855468903451409,0.00255134721831078,0.0795213363762063,-0.0170410317248266,-0.0418160463934608,-0.0413052098594822,-0.000720772220305097,0.0421731307176826,0.0465909606425923,0.0158552395893112,0.0724560078085855,0.123272270796616,0.108899494434718,0.257932750051717,0.977390204919291,-0.0225497255145354,0.0221879841457027,0.00408767908259974
"ENSG00000228477",0.0064909594528482,-0.0339593724257789,0.176313372975345,0.136998927015535,0.245893369153334,0.446124151698999,-0.0609170946263287,-0.0984546787443749,-0.013038937440136,-0.00956313345619644,0.17382052431406,0.075346577035739,-0.00325808364310607,0.00628002532974434,0.0938270594121941,-0.00459697528948289,-0.0358369259108429,-0.263046294723652
"ENSG00000228502",0.0181574922279553,0.0380711064404697,0.116270348060629,0.0744239814862843,0.228313253587792,0.204649855408422,-0.00745098616233859,-0.12466995719619,-0.0315807178125169,0.0165627050554246,0.0133361945984989,-0.0267331905291097,-0.00224591992708356,-0.0200398044660183,-0.0339690468944748,-0.0672316478707247,-0.0306446888810152,-0.121816662313709
"ENSG00000228509",0.0135191218781331,-0.00970826759606482,0.033140065745648,-0.00752011397567897,-0.0411210683315645,-0.0505963567605767,0.00257251492670673,0.0132269155288896,0.00838140611914985,-0.0204352904239264,0.0336492975742836,0.0564129136614414,-0.00657575421724712,0.0988199070725543,0.41025342624548,-0.00426416425455627,0.0504600929873643,0.0690515272762419
"ENSG00000228594",-0.0122568018881413,-0.0699085205195433,-0.011051165079905,-0.0676221353829296,-0.121486945789476,-0.0467199450480522,-0.0263176186162197,-0.0439485126175365,-0.0226734451367283,-0.0289831588275301,-0.0532735752060673,-0.0700782660366465,-0.0595112598251503,0.0407488561898193,-0.0748772458183944,0.0193220664648752,0.0554569398119884,-0.0340338288011487
"ENSG00000228623",-0.0277939261254848,-0.0278723781948493,-0.0545292398824368,-0.123803552217911,-0.154675954861602,-0.144706775996319,-0.0176847955654671,0.0145186273618476,0.114709554433912,-0.0134003204651349,0.171841719647228,0.103073009722363,0.0467858202320093,0.055046182207837,0.14562295306939,-0.0627554488631773,0.0522679852846921,0.174316336951758
"ENSG00000228663",0.0242939606488803,0.00462327567073383,0.109678215478367,0.0181442624587557,0.000695110347786869,0.00411200567453649,0.00606829185084815,0.0455387719745174,0.0362551341085468,0.00653552489622973,0.0552193049049769,0.0796696377414527,0.104635456720885,0.252463555943462,0.989502752510995,-0.0425808919516427,0.00647181481332396,-0.0631889763169669
"ENSG00000228677",0.0291082961552383,0.00436185953326787,0.0848919635262316,-0.0122464986092628,-0.0244885581423726,-0.00741375971743431,-0.014278871724073,0.0646635959629901,0.0307725060559979,0.0151101862811054,0.0679558771006994,0.0720308049207316,0.111507967625559,0.242922981981017,0.974532155891343,-0.0328273314781356,0.012291849645325,-0.0721899273724522
"ENSG00000229044",0.014514577492281,0.000308360996193933,0.0935144230939191,0.0063682720996701,-0.00897503040981609,-0.00636451226070002,0.0102361698698408,0.0383863567559095,0.040281745217102,0.0204566605942314,0.059652670501153,0.0834580993496011,0.114140958252561,0.25946312801311,0.98575898047638,-0.0387088661839894,0.0097713683728808,-0.0524190651189288
"ENSG00000229097",0.0225667093920488,0.00155352441741015,0.126811761880461,0.0329871220608424,0.045107130876745,0.0569599847349177,-0.0247656189172025,0.0300628154463067,0.0255374844910853,0.0281134801831848,0.0624963702932193,0.106360148858395,0.0952413829835325,0.25686645027617,0.958569295911002,-0.0504539666003674,-0.00321529441747469,-0.113252319543656
"ENSG00000229107",-0.0216350469559884,-0.011832137727865,-0.0949359295153805,-0.0950988044072278,-0.117074202667537,-0.152959346202396,0.0164210815100594,-0.0240981068052597,-0.00331126207669663,0.00697439663148364,0.0909089626578132,0.083493103151607,-0.0292905539259642,0.0526838909664097,-0.0283808346401179,0.0279916387442076,0.408826503859058,0.347961748574771
"ENSG00000229119",0.0553676165365044,0.0158912513232772,-0.0202763950030097,-0.155042959806597,-0.118077362810387,-0.0377832554749996,0.00645628351813778,-0.20545437847291,-0.109305582196702,-0.031436307133422,-0.0589191544129316,-0.0679741794109709,-0.0405561101485403,-0.0486520803341063,-0.0821594728009773,-0.0534922561010273,0.0434687435461729,-0.157798890791813
"ENSG00000229127",0.027378894170193,-0.00332171415696347,0.137164834551858,0.0056303402996171,0.0105305654276501,0.0334301147925574,-0.00514418920022883,-0.00287708968238294,0.0280422571145634,0.0200312937475025,0.0647194700315158,0.0963639496275829,0.107685102714696,0.242682457076868,0.965073877960598,-0.0345037721897965,0.00151624630446475,-0.0869323571578805
"ENSG00000229152",0.022123277646552,-0.00642382038544355,0.146256393257255,-0.00902238409812279,-0.0018842951440645,0.0289993894913956,-0.0268042858284665,0.030256301617477,0.0111458027783145,0.0169842492391418,0.0507198061973504,0.0785281003348675,0.0731997289897603,0.256253857009188,0.87500984328653,-0.0222950672007838,-0.0155516158287564,-0.194911480670043
"ENSG00000229190",0.0288434526766359,0.00767712834378972,0.0298277611405922,-0.0483641384293261,-0.0141219265024346,-0.0245409023610337,-0.00828424459825199,0.00892459659640873,-0.00188444340706822,-0.00741578121472102,0.0659675806842341,0.0158197488013706,0.0255474035338188,0.0816847904840957,0.322844473329407,-0.0112061108210531,0.00204328779052614,-0.0734552947983715
