MEgrey60,MEsalmon,MEyellow,MEbrown,MEblue,MEmidnightblue,MEcyan,MEgreen,MEmagenta,MEred,MEblack,MEpurple,MEgreenyellow,MElightcyan,MEturquoise,MEpink,MEtan,MEgrey
,,,,,,,,,,,,,,ENSG00000262663,,,
,,,,,,,,,,,,,,ENSG00000263388,,,
,,,,,,,,,,,,,,ENSG00000263606,,,
,,,,,,,,,,,,,,ENSG00000263740,,,
,,,,,,,,,,,,,,ENSG00000264044,,,
,,,,,,,,,,,,,,ENSG00000265194,,,
,,,,,,,,,,,,,,ENSG00000265218,,,
,,,,,,,,,,,,,,ENSG00000265451,,,
,,,,,,,,,,,,,,ENSG00000265625,,,
,,,,,,,,,,,,,,ENSG00000265791,,,
,,,,,,,,,,,,,,ENSG00000265907,,,
,,,,,,,,,,,,,,ENSG00000266236,,,
,,,,,,,,,,,,,,ENSG00000266912,,,
,,,,,,,,,,,,,,ENSG00000266993,,,
,,,,,,,,,,,,,,ENSG00000267560,,,
,,,,,,,,,,,,,,ENSG00000267632,,,
,,,,,,,,,,,,,,ENSG00000267724,,,
,,,,,,,,,,,,,,ENSG00000267800,,,
,,,,,,,,,,,,,,ENSG00000268056,,,
,,,,,,,,,,,,,,ENSG00000268521,,,
,,,,,,,,,,,,,,ENSG00000269227,,,
,,,,,,,,,,,,,,ENSG00000269463,,,
,,,,,,,,,,,,,,ENSG00000269560,,,
,,,,,,,,,,,,,,ENSG00000269825,,,
,,,,,,,,,,,,,,ENSG00000269899,,,
,,,,,,,,,,,,,,ENSG00000269903,,,
,,,,,,,,,,,,,,ENSG00000269924,,,
,,,,,,,,,,,,,,ENSG00000269938,,,
,,,,,,,,,,,,,,ENSG00000269951,,,
,,,,,,,,,,,,,,ENSG00000269997,,,
,,,,,,,,,,,,,,ENSG00000270061,,,
,,,,,,,,,,,,,,ENSG00000270108,,,
,,,,,,,,,,,,,,ENSG00000270115,,,
,,,,,,,,,,,,,,ENSG00000270130,,,
,,,,,,,,,,,,,,ENSG00000270157,,,
,,,,,,,,,,,,,,ENSG00000270426,,,
,,,,,,,,,,,,,,ENSG00000270427,,,
,,,,,,,,,,,,,,ENSG00000270510,,,
,,,,,,,,,,,,,,ENSG00000270589,,,
,,,,,,,,,,,,,,ENSG00000270614,,,
,,,,,,,,,,,,,,ENSG00000270640,,,
,,,,,,,,,,,,,,ENSG00000270751,,,
,,,,,,,,,,,,,,ENSG00000271105,,,
,,,,,,,,,,,,,,ENSG00000271347,,,
,,,,,,,,,,,,,,ENSG00000271580,,,
,,,,,,,,,,,,,,ENSG00000271631,,,
,,,,,,,,,,,,,,ENSG00000271664,,,
,,,,,,,,,,,,,,ENSG00000271730,,,
,,,,,,,,,,,,,,ENSG00000271778,,,
,,,,,,,,,,,,,,ENSG00000271789,,,
,,,,,,,,,,,,,,ENSG00000271840,,,
,,,,,,,,,,,,,,ENSG00000271843,,,
,,,,,,,,,,,,,,ENSG00000271964,,,
,,,,,,,,,,,,,,ENSG00000272037,,,
,,,,,,,,,,,,,,ENSG00000272072,,,
,,,,,,,,,,,,,,ENSG00000272123,,,
,,,,,,,,,,,,,,ENSG00000272181,,,
,,,,,,,,,,,,,,ENSG00000272367,,,
,,,,,,,,,,,,,,ENSG00000272389,,,
,,,,,,,,,,,,,,ENSG00000272498,,,
,,,,,,,,,,,,,,ENSG00000272529,,,
,,,,,,,,,,,,,,ENSG00000272588,,,
,,,,,,,,,,,,,,ENSG00000272650,,,
,,,,,,,,,,,,,,ENSG00000272807,,,
,,,,,,,,,,,,,,ENSG00000272842,,,
,,,,,,,,,,,,,,ENSG00000272843,,,
,,,,,,,,,,,,,,ENSG00000272899,,,
,,,,,,,,,,,,,,ENSG00000272918,,,
,,,,,,,,,,,,,,ENSG00000272950,,,
,,,,,,,,,,,,,,ENSG00000273017,,,
,,,,,,,,,,,,,,ENSG00000273055,,,
,,,,,,,,,,,,,,ENSG00000273090,,,
,,,,,,,,,,,,,,ENSG00000273108,,,
,,,,,,,,,,,,,,ENSG00000273138,,,
,,,,,,,,,,,,,,ENSG00000273243,,,
,,,,,,,,,,,,,,ENSG00000273284,,,
,,,,,,,,,,,,,,ENSG00000273302,,,
,,,,,,,,,,,,,,ENSG00000273338,,,
,,,,,,,,,,,,,,ENSG00000273340,,,
,,,,,,,,,,,,,,ENSG00000273350,,,
,,,,,,,,,,,,,,ENSG00000273369,,,
,,,,,,,,,,,,,,ENSG00000273373,,,
,,,,,,,,,,,,,,ENSG00000273399,,,
,,,,,,,,,,,,,,ENSG00000273449,,,
,,,,,,,,,,,,,,ENSG00000273474,,,
