i_doc,doc,MEgrey60,MEsalmon,MEyellow,MEbrown,MEblue,MEmidnightblue,MEcyan,MEgreen,MEmagenta,MEred,MEblack,MEpurple,MEgreenyellow,MElightcyan,MEturquoise,MEpink,MEtan,MEgrey
178,add93641-2f11-4373-a079-b8116e7dd3cc.FPKM.txt.gz,-0.00481974167942224,-0.00574403142887963,-0.0265535147244295,-0.0414621799097546,-0.0260045089225553,-0.0329536922476957,-0.00144303153158082,0.0197021451368618,0.00103257219869095,-0.0010869032198067802,-0.0059204278447187,0.00143906926709194,-0.0200710282552106,0.0110300107636552,-0.0126779797739732,0.0315071958053555,-0.0010144468939196401,0.0554227861569707
179,fa0419a3-7d4d-40fe-aceb-3d70965387e3.FPKM.txt.gz,0.00116125331169537,-0.00388068756325354,0.13165024658917499,0.144309516257518,0.127024422480628,0.146863425065848,-0.0119027873650644,-0.0252843128089848,0.0109410067436413,-0.000819807459482868,-0.0180149376753995,-0.00674031434959641,-0.0035049241808253803,-0.0191627371402205,-0.00876486759723808,-0.00914273175512876,-0.0144531151305956,-0.0644817782610997
180,ae32fcc8-a1b7-47c8-b1c5-1e5cdbcf3725.FPKM.txt.gz,-0.00677373048858195,0.0055983170772332,-0.011389771938691002,-0.008420796850639059,-0.024718644442372997,-0.0179541353098155,-0.00626586870368459,-0.0424712568610381,-0.00712326035728235,-0.0011359557449273198,-0.0158121852175524,-0.00111404173850024,-0.004396753537539271,-0.00554257078799004,0.00678675487484479,0.01140728847142,0.00436541784257899,-0.0510046598580378
181,8a2863d8-26a3-443e-a36f-5c149de57136.FPKM.txt.gz,-0.00919675231314382,-0.00459169004407568,-0.00584396856454545,-0.0149287197641154,-0.0229590388068143,-0.0176516811854383,-0.0036625795113309203,-0.0293279508268653,-0.0163475711018625,0.00276835649576711,0.00284722126819761,-0.011748075676875,0.00812839390128973,0.0628620214685049,-0.00362551515088036,0.00875724969936624,4.8942809975214294e-05,-0.0172749777513248
182,eb514a1a-536a-4ce7-ad6b-ec2267452d7a.FPKM.txt.gz,-0.0112028096431435,0.00319913604791725,-0.0133946985276647,-0.0127071330281542,-0.0196998953764205,-0.0212548469734933,-0.0110010380579957,0.0312214781506215,0.00293347059812042,-0.00449621030585501,-0.0074310459352986795,-0.0025328045390637603,-0.0202143701161988,-0.00450842470571756,0.007963827187466509,0.0127192799899175,-0.00191584473161349,0.0608293024190616
183,258b03ca-d1a3-4102-a953-476df48c3ae7.FPKM.txt.gz,-0.0010473220885872901,-0.00846191859930174,-0.0218690014407778,-0.019963822047548,-0.0162328649054151,-0.0222526138519191,-0.0132538238263114,0.0638520937202641,-0.0035790301202052103,-0.0114328172881093,-0.0055797163215134706,-0.00939102424051185,-0.0184902950730522,-0.008789115582958121,-0.0142242017720789,-0.007293274553938529,-0.00973527165950891,0.0159715423201215
184,97f3c6a3-a3b8-4f59-9242-8845fa1c90a8.FPKM.txt.gz,0.0228806579343789,-0.00468025321593583,-0.020296008812708,-0.0284346685897594,-0.0306616750494289,-0.0309396004187191,-0.00505767486928836,-0.0398895949775237,-0.0182230240835611,-0.00711626876308592,-0.0153197629176883,-0.0160682126838976,-0.0175704689943817,-0.008658045184798579,-0.0107521234217258,-0.020452538539844,0.000277638273363719,-0.00255076086187285
185,f69a97ec-c6c0-4450-83f1-3280f31ad447.FPKM.txt.gz,-0.0111716270969741,-0.00971820977371624,-0.0301432279345302,-0.0390757148676333,-0.0268621253637287,-0.0341512718219242,-0.013950315395012,0.0535335088603569,-0.0107927624397999,-0.00405425982870741,-0.0152813385925324,-0.00827348063404359,-0.0249241613951398,-0.0397378615751496,-0.0122084654181136,-0.00481965086754516,0.0282666403933226,0.039030452209846
186,394df3ed-9071-4731-8499-d83624d2a7fa.FPKM.txt.gz,-0.00451384678677207,0.0073333984396084795,-0.0201402935909791,0.0172106551484626,-0.00335678945399027,-0.0286828399431971,-0.0126215219420011,0.0256308496872979,0.0100719318393623,-0.000994896147213007,-0.00816540977716876,-0.00129392900710535,0.00348813758923233,-0.0163138678467176,-0.008942683775724509,0.0067287862468688705,-0.0118333262682011,0.0126397168274036
187,e9889edc-cfbf-4213-9629-fde30511bd63.FPKM.txt.gz,-0.00422765461265244,-0.000296557857757718,-0.0140808349150708,-0.0157172668852252,0.0359957227472437,0.000657921096952317,-0.009921865259836229,-0.0068266614193183296,0.00309528340864095,-0.00392230200174876,0.00304751052082044,-0.0135588837402249,0.00266395806705742,0.00337833114551201,0.013542826948118,0.00578923901028027,-0.00689305687615589,-0.0709498986541906
