,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
ENSG00000101307,0.0,0.0,0.0,0.0,0.0,0.0,0.00029359981255767427,0.0,0.0,0.0
ENSG00000101405,0.0,0.0,0.0,0.0,0.0,0.0,3.814233372747078e-05,0.0,0.0,0.0
ENSG00000101447,0.0024243499615400135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101470,0.0,0.0,0.0,0.03024839560720448,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101577,0.002436825968330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101605,0.0,0.0,4.27884717261929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101670,0.0,0.0,0.0,0.0,0.0,0.0,0.0002080199545304919,0.0,0.0,0.0
ENSG00000102554,0.008677909859156665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102575,0.008060578560182562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102743,0.0005654249497340147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102760,0.010695018315086019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012317742007401792,0.0
ENSG00000102886,0.0004448235507577865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102934,0.0005424752582302368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102967,0.0002761664219212989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103034,0.0,0.0023991566003901707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103044,0.0,0.017129091374859597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103257,0.008456576257204123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103316,0.0,0.0,0.0,0.0,0.006523514559644794,0.0,0.0,0.0,0.0,0.0
ENSG00000103485,0.0,0.0,0.0,0.0,0.0,0.0,0.0032337647477012833,0.0,0.0,0.0
ENSG00000103569,0.0007557995718727349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103710,0.0007259187654852659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103876,0.0006968080829737625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104140,0.0,0.019984995594391222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104154,0.00011012771426309464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104267,0.0028751804785303327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104332,0.0,0.0,0.0,0.018942333147713684,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104368,0.0,0.0,0.0,0.0,0.0,0.0,0.00865029666081497,0.0,0.0,0.0
ENSG00000104435,0.0,0.0,0.0,0.003099239568023516,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104447,0.0003052771044328022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104490,0.0004194094628509185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104783,0.0,0.0,0.0,0.0,0.017638076504995083,0.0,0.0,0.0,0.0,0.0
ENSG00000104833,0.00016218808827837575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104879,0.0,0.0,0.0,0.0025925892115424994,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104894,0.001465545735962721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105048,0.0,0.0,0.0,0.0,0.016479171339671365,0.0,0.0,0.0,0.0,0.0
ENSG00000105088,0.0014493731345674415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105173,0.0007759768174230361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105270,0.0007408591686790003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105290,0.0,0.0,0.0,0.0,0.0,0.0,0.0008622090565285412,0.0,0.0,0.0
ENSG00000105369,0.00359185775750401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105374,0.002409255533571086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105427,0.0,0.009638852683761743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105519,0.0,0.0,0.004918229192984972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105655,0.002618421178283369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105697,3.727399559673973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105717,9.54953606197464e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105825,0.0,0.0,0.0,0.0,0.06613811388903268,0.0,0.0,0.0,0.0,0.0
ENSG00000105894,0.0,0.011707236740243617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106258,0.0,0.0007234769683781448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106327,7.162152046480981e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106333,0.0037441882601700247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106366,0.009937524470686158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106404,0.0003804411947270542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106483,0.0028727160821272425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106484,0.0,0.0,0.0,0.0,0.0,0.0,0.006864658499506233,0.0,0.0,0.0
ENSG00000106565,0.009403982649417124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.121237793730771e-05,0.0
ENSG00000106688,0.0,0.0,0.0021687642526361773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106772,9.395511286781502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106804,0.0,0.0,0.0,0.0,0.006619850348821827,0.0,0.0,0.0,0.0,0.0
ENSG00000106809,0.0,0.0,0.0,0.0,0.0033717526211961744,0.0,0.0,0.0,0.0,0.0
ENSG00000106823,0.00035625930502173133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106853,0.0,0.02069298959262898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106927,0.0,0.0,0.0,0.019353130734049644,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107159,0.0,0.0,0.0,0.0,0.0,0.0,0.006882607833025043,0.0,0.0,0.0
ENSG00000107537,0.001367123904614305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107562,0.0011573421608012493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107742,0.0,0.0,0.008754521315179068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107821,0.0003015805098281669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107984,0.0,0.0,0.0,0.03923116949508412,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000108176,0.0,0.0,0.0,0.0,0.010691834751051066,0.0,0.0,0.0,0.0,0.0
ENSG00000108187,0.0,0.0,0.0,0.0,0.0,0.0,0.0004926451003287612,0.0,0.0,0.0
ENSG00000108342,0.0,0.003482260738847335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000108352,0.0,0.006826582289171211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000108515,0.0,0.0,0.0,0.0,0.002951901122096267,0.0,0.0,0.0,0.0,0.0
ENSG00000108551,0.0,0.0,0.0,0.0,0.0,0.0,0.012004578362142547,0.0,0.0,0.0
ENSG00000108602,0.0,0.04386536572183014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000108823,0.0,0.0,0.0,0.0,0.0,0.0,0.000530787434056232,0.0,0.0,0.0
ENSG00000108839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000593626466582077,0.0,0.0
ENSG00000108950,0.00126531352821164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109061,0.0,0.0,0.0,0.0,0.0,0.0,3.5257619411947783e-06,0.0,0.0,0.0
ENSG00000109063,9.087461736395222e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109072,0.0,0.0,0.0,0.019083830094118293,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109107,0.002703442854189982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109220,0.0021843793617891023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109436,0.0015342407856988613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109814,0.0,0.029510541087580125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110042,0.001813487703124023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110076,0.0,0.0001238637611231065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110169,0.0,0.0,0.0,0.0011821841651223721,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110245,0.0,0.0,0.0,0.002985129127374638,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110446,0.0013894574970173103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110799,0.004437761822864731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110852,0.0013047438706610835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000111206,0.002170671156796913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000111215,0.0,0.0,0.0,0.005655313438558374,0.0,0.0,0.0,0.0,0.0,0.0
